te_class	n_tes	total_cpgs	mean_ctrl	mean_ampu	mean_delta	cohens_d	sd_ctrl
DNA	744036	5977786	0.229568245485245	0.230961427661382	0.00139318217613717	0.0387800175391471	0.380202149592378
LINE	589079	5872086	0.227144988327864	0.22882149392896	0.00167650560109643	0.0487827526976664	0.376012207695577
LTR	213039	1314544	0.24818312880543	0.249613213759955	0.00143008495452488	0.0372789781444341	0.389900018029468
RC	60030	568620	0.245403294339739	0.246518149136292	0.0011148547965531	0.033062798304471	0.38889686413336
SINE	162454	1158768	0.245363664129859	0.246936772476626	0.00157310834676679	0.0479255131656581	0.391108843953547
Unknown	335323	2016414	0.244715702930088	0.246427429543922	0.00171172661383397	0.0457606427601618	0.38770144903847
