ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0072488	Ammonium transmembrane transport	1/3102	14/15293	0.0714285714285714	0.352146080869485	-1.22328322007228	0.958217444215874	0.999992694237011	0.968920521936467	LOC_00008117	1
GO:0098664	G protein-coupled serotonin receptor signaling pathway	1/3102	14/15293	0.0714285714285714	0.352146080869485	-1.22328322007228	0.958217444215874	0.999992694237011	0.968920521936467	LOC_00018628	1
GO:1901663	Quinone biosynthetic process	1/3102	14/15293	0.0714285714285714	0.352146080869485	-1.22328322007228	0.958217444215874	0.999992694237011	0.968920521936467	LOC_00007784	1
GO:0006513	Protein monoubiquitination	4/3102	37/15293	0.108108108108108	0.532977852126788	-1.43466787809874	0.958851145740056	0.999992694237011	0.968920521936467	LOC_00006432/LOC_00006434/LOC_00021436/LOC_00003069	4
GO:0000462	Maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3/3102	30/15293	0.1	0.493004513217279	-1.40209727205248	0.959193134567997	0.999992694237011	0.968920521936467	LOC_00012974/LOC_00011373/LOC_00004185	3
GO:0006334	Nucleosome assembly	3/3102	30/15293	0.1	0.493004513217279	-1.40209727205248	0.959193134567997	0.999992694237011	0.968920521936467	LOC_00002667/LOC_00019731/LOC_00014390	3
GO:0006413	Translational initiation	7/3102	57/15293	0.12280701754386	0.605444139038764	-1.50537195415926	0.959763585832003	0.999992694237011	0.968920521936467	LOC_00011688/LOC_00020153/LOC_00025135/LOC_00002734/LOC_00002829/LOC_00007213/LOC_00022628	7
GO:0006275	Regulation of DNA replication	5/3102	44/15293	0.113636363636364	0.560232401383272	-1.47354112099191	0.960128170913048	0.999992694237011	0.968920521936467	LOC_00008774/LOC_00019514/LOC_00004094/LOC_00015512/LOC_00006909	5
GO:0003002	Regionalization	10/3102	76/15293	0.131578947368421	0.648690148970104	-1.54869529719133	0.960678799791719	0.999992694237011	0.968920521936467	LOC_00006897/LOC_00005157/LOC_00003069/LOC_00014313/LOC_00019789/LOC_00011570/LOC_00011716/LOC_00006538/LOC_00003064/LOC_00003231	10
GO:0002221	Pattern recognition receptor signaling pathway	9/3102	70/15293	0.128571428571429	0.633862945565073	-1.54873087153989	0.961563332268117	0.999992694237011	0.968920521936467	LOC_00006049/LOC_00000767/LOC_00000853/LOC_00011402/LOC_00006051/LOC_00017545/LOC_00006052/LOC_00022543/LOC_00011796	9
GO:0009101	Glycoprotein biosynthetic process	49/3102	298/15293	0.164429530201342	0.810645004954587	-1.66511808881834	0.961589692428595	0.999992694237011	0.968920521936467	LOC_00022824/LOC_00003132/LOC_00015867/LOC_00017736/LOC_00006140/LOC_00016175/LOC_00011934/LOC_00010590/LOC_00007865/LOC_00006896/LOC_00012162/LOC_00018476/LOC_00014211/LOC_00005379/LOC_00003905/LOC_00006990/LOC_00009829/LOC_00022936/LOC_00016601/LOC_00024711/LOC_00021872/LOC_00007634/LOC_00006139/LOC_00021461/LOC_00023237/LOC_00024692/LOC_00011836/LOC_00019262/LOC_00000041/LOC_00011862/LOC_00007029/LOC_00014168/LOC_00013235/LOC_00024413/LOC_00015485/LOC_00009647/LOC_00014886/LOC_00021655/LOC_00013896/LOC_00006166/LOC_00008960/LOC_00020990/LOC_00004212/LOC_00022892/LOC_00018734/LOC_00005457/LOC_00016736/LOC_00000347/LOC_00013582	49
GO:0060079	Excitatory postsynaptic potential	6/3102	51/15293	0.117647058823529	0.580005309667387	-1.51544885937182	0.962199517024762	0.999992694237011	0.968920521936467	LOC_00024828/LOC_00007264/LOC_00025159/LOC_00012377/LOC_00011667/LOC_00011973	6
GO:0007062	Sister chromatid cohesion	2/3102	23/15293	0.0869565217391304	0.428699576710678	-1.38306413996614	0.962824896025895	0.999992694237011	0.968920521936467	LOC_00011589/LOC_00024861	2
GO:0008589	Regulation of smoothened signaling pathway	2/3102	23/15293	0.0869565217391304	0.428699576710678	-1.38306413996614	0.962824896025895	0.999992694237011	0.968920521936467	LOC_00008025/LOC_00015620	2
