ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0120016	Sphingolipid transfer activity	2/2969	9/14597	0.222222222222222	1.09254893155196	0.140334451431523	0.574052138751809	0.999999862227987	0.961263786856635	LOC_00012102/LOC_00018144	2
GO:0120017	Ceramide transfer activity	2/2969	9/14597	0.222222222222222	1.09254893155196	0.140334451431523	0.574052138751809	0.999999862227987	0.961263786856635	LOC_00012102/LOC_00018144	2
GO:1902388	Ceramide 1-phosphate transfer activity	2/2969	9/14597	0.222222222222222	1.09254893155196	0.140334451431523	0.574052138751809	0.999999862227987	0.961263786856635	LOC_00012102/LOC_00018144	2
GO:0008276	Protein methyltransferase activity	13/2969	65/14597	0.2	0.983294038396767	-0.0682079469017528	0.576540431870454	0.999999862227987	0.961263786856635	LOC_00002910/LOC_00006638/LOC_00012104/LOC_00002749/LOC_00019749/LOC_00015461/LOC_00006028/LOC_00010971/LOC_00018200/LOC_00017059/LOC_00023927/LOC_00003712/LOC_00025907	13
GO:0019903	Protein phosphatase binding	12/2969	60/14597	0.2	0.983294038396767	-0.0655208048279219	0.577463930525498	0.999999862227987	0.961263786856635	LOC_00007441/LOC_00015860/LOC_00004350/LOC_00009124/LOC_00003606/LOC_00017350/LOC_00012829/LOC_00024219/LOC_00004193/LOC_00006910/LOC_00002786/LOC_00021757	12
GO:0051287	NAD binding	12/2969	60/14597	0.2	0.983294038396767	-0.0655208048279219	0.577463930525498	0.999999862227987	0.961263786856635	LOC_00006256/LOC_00006258/LOC_00006253/LOC_00017942/LOC_00023235/LOC_00010259/LOC_00019361/LOC_00010918/LOC_00014397/LOC_00011900/LOC_00009582/LOC_00011194	12
GO:0004812	aminoacyl-tRNA ligase activity	10/2969	50/14597	0.2	0.983294038396767	-0.0597914762455488	0.580028648648321	0.999999862227987	0.961263786856635	LOC_00009247/LOC_00024737/LOC_00012567/LOC_00021524/LOC_00004179/LOC_00025236/LOC_00016444/LOC_00014016/LOC_00024885/LOC_00025555	10
GO:0016811	Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	10/2969	50/14597	0.2	0.983294038396767	-0.0597914762455488	0.580028648648321	0.999999862227987	0.961263786856635	LOC_00021127/LOC_00003016/LOC_00018038/LOC_00024415/LOC_00020763/LOC_00015756/LOC_00014513/LOC_00018955/LOC_00018794/LOC_00025162	10
GO:0016875	Ligase activity, forming carbon-oxygen bonds	10/2969	50/14597	0.2	0.983294038396767	-0.0597914762455488	0.580028648648321	0.999999862227987	0.961263786856635	LOC_00009247/LOC_00024737/LOC_00012567/LOC_00021524/LOC_00004179/LOC_00025236/LOC_00016444/LOC_00014016/LOC_00024885/LOC_00025555	10
GO:0016879	Ligase activity, forming carbon-nitrogen bonds	10/2969	50/14597	0.2	0.983294038396767	-0.0597914762455488	0.580028648648321	0.999999862227987	0.961263786856635	LOC_00009449/LOC_00020910/LOC_00013412/LOC_00009844/LOC_00003684/LOC_00022925/LOC_00021497/LOC_00012723/LOC_00009397/LOC_00018472	10
GO:0043178	Alcohol binding	10/2969	50/14597	0.2	0.983294038396767	-0.0597914762455488	0.580028648648321	0.999999862227987	0.961263786856635	LOC_00011514/LOC_00008140/LOC_00014634/LOC_00013219/LOC_00023966/LOC_00015049/LOC_00009885/LOC_00015350/LOC_00007825/LOC_00019717	10
GO:0019829	ATPase-coupled cation transmembrane transporter activity	9/2969	45/14597	0.2	0.983294038396767	-0.0567134291322426	0.581808541387393	0.999999862227987	0.961263786856635	LOC_00025504/LOC_00005736/LOC_00011011/LOC_00024660/LOC_00009140/LOC_00022891/LOC_00020351/LOC_00018714/LOC_00017629	9
GO:0061631	Ubiquitin conjugating enzyme activity	8/2969	40/14597	0.2	0.983294038396767	-0.0534607501203669	0.584062737738467	0.999999862227987	0.961263786856635	LOC_00017424/LOC_00012219/LOC_00025453/LOC_00006221/LOC_00005150/LOC_00011463/LOC_00015739/LOC_00010253	8
GO:0030145	Manganese ion binding	6/2969	30/14597	0.2	0.983294038396767	-0.0462824734567778	0.590784053908874	0.999999862227987	0.961263786856635	LOC_00018476/LOC_00006990/LOC_00021655/LOC_00000198/LOC_00024721/LOC_00005421	6
GO:0000987	Cis-regulatory region sequence-specific DNA binding	82/2969	411/14597	0.199513381995134	0.98090159548096	-0.198452939262272	0.598590950687933	0.999999862227987	0.961263786856635	LOC_00009090/LOC_00009898/LOC_00010031/LOC_00019970/LOC_00024474/LOC_00021076/LOC_00005608/LOC_00020852/LOC_00013899/LOC_00004813/LOC_00007999/LOC_00016672/LOC_00012839/LOC_00025366/LOC_00010049/LOC_00021288/LOC_00017445/LOC_00004736/LOC_00006363/LOC_00018001/LOC_00005075/LOC_00019286/LOC_00017713/LOC_00012857/LOC_00022880/LOC_00016373/LOC_00011768/LOC_00008185/LOC_00004596/LOC_00009434/LOC_00011489/LOC_00013697/LOC_00006740/LOC_00023853/LOC_00018133/LOC_00021586/LOC_00021727/LOC_00023469/LOC_00019881/LOC_00000679/LOC_00014873/LOC_00012010/LOC_00025953/LOC_00003488/LOC_00016510/LOC_00007782/LOC_00004388/LOC_00002596/LOC_00017790/LOC_00018735/LOC_00022513/LOC_00011116/LOC_00012341/LOC_00006415/LOC_00015786/LOC_00019301/LOC_00018898/LOC_00017534/LOC_00013936/LOC_00003745/LOC_00009638/LOC_00007084/LOC_00021218/LOC_00007759/LOC_00025378/LOC_00016395/LOC_00006538/LOC_00005926/LOC_00009894/LOC_00012380/LOC_00025947/LOC_00018030/LOC_00012019/LOC_00018469/LOC_00025415/LOC_00003020/LOC_00019890/LOC_00020251/LOC_00007386/LOC_00019861/LOC_00000963/LOC_00022641	82
GO:0017046	Peptide hormone binding	4/2969	20/14597	0.2	0.983294038396767	-0.0377765170877263	0.603378817111656	0.999999862227987	0.961263786856635	LOC_00011854/LOC_00005708/LOC_00011805/LOC_00006102	4
GO:0030552	cAMP binding	4/2969	20/14597	0.2	0.983294038396767	-0.0377765170877263	0.603378817111656	0.999999862227987	0.961263786856635	LOC_00008471/LOC_00018862/LOC_00017575/LOC_00021645	4
GO:0051787	Misfolded protein binding	4/2969	20/14597	0.2	0.983294038396767	-0.0377765170877263	0.603378817111656	0.999999862227987	0.961263786856635	LOC_00018515/LOC_00005850/LOC_00014621/LOC_00024351	4
GO:0070566	Adenylyltransferase activity	4/2969	20/14597	0.2	0.983294038396767	-0.0377765170877263	0.603378817111656	0.999999862227987	0.961263786856635	LOC_00003398/LOC_00005308/LOC_00012271/LOC_00003928	4
