te_class	total_bp	cpg_count	cpg_per_kb	cpg_oe	gc_pct	n_elements
LTR	81994226	2301086	28.0640005065723	0.586257482987982	43.7583153721093	329068
RC	29262632	714743	24.4251098124051	0.594813672666602	40.5284152156922	90356
LINE	320483619	9715512	30.3151594153709	0.63708868440126	43.6274760114962	849481
DNA	283490114	8103990	28.5864994925361	0.681709951955692	40.9553727859448	1126969
Unknown	102881418	3695260	35.917662021338	0.701393255733945	45.2588231239192	507220
SINE	38438131	1515373	39.4236910218137	0.757853577719659	45.6167626880714	224787
