region	total_bp	cpg_count	cpg_per_kb	cpg_oe	gc_pct	enrichment
Promoter	50826000	1366333	26.8825601070318	0.637943882997097	41.055827725967	OVER
Gene body	887240590	20425381	23.0212427499513	0.524846668798228	41.8869681108706	UNDER
Exon	111667468	2369763	21.2216059201772	0.496608686572285	41.3439651018146	UNDER
Intron	775573122	18113958	23.3555772965531	0.530487658170133	41.9651499990996	UNDER
TE	733974024	22303224	30.3869391432305	0.659134823731554	42.9424033676701	OVER
Intergenic	874058622	23967593	27.4210360686769	0.562954816319637	44.1404728800902	OVER
