region	mean_ctrl	mean_ampu	mean_delta	n
Intergenic	0.0464700604130056	0.0452247318364392	-0.00124532857633191	11143731
Promoter	0.0718125246678168	0.0702877081690881	-0.00152481649876052	993009
Exon	0.245885107610195	0.241301540440661	-0.0045835671692891	1865128
Intron	0.146905149296301	0.144052324930184	-0.0028528243660776	11437200
