gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta	sd_delta	mean_ctrl_beta	z_score	p_value	fdr	direction
LOC_00005583	1115	0.0191752548325603	0.0167401755681251	-0.00243507926443515	0.0897468901586518	0.0032265703963034	-0.906006112164115	0.364932617311349	0.754295482314469	Losing
XLOC_013414U_lncRNA	15	0.254285566560286	0.183977231237939	-0.0703083353223468	0.248139912382294	0.0891304066304066	-1.09737691606619	0.27247666009905	0.706308237781259	Losing
LOC_00005584	385	0.425032622334902	0.422262349764375	-0.00277027257052692	0.263380212100167	0.813574194982649	-0.206381005305472	0.836493307026569	0.956411444339435	Losing
LOC_00005585	379	0.0149019417561999	0.019298471857875	0.00439653010167505	0.0902751777137916	0.00235385608607442	0.948115625200559	0.343070594552101	0.738957107407499	Gaining
LOC_00005587	118	0.445723428434902	0.448719924223482	0.00299649578857946	0.235073262060696	0.623850665712461	0.138468644663382	0.889870048805831	0.971424122358147	Gaining
LOC_00005588	73	0.460749461386605	0.508305034516056	0.0475555731294512	0.243960722327854	0.766181594263863	1.66549349031159	0.0958143412860801	0.501898376092373	Gaining
LOC_00005589	56	0.0325742200338031	0.0205374892595727	-0.0120367307742304	0.110153077427118	0.00612007030251013	-0.8177224579823	0.413515683771484	0.782605149747717	Losing
LOC_00005590	151	0.334855035903403	0.349831912313561	0.0149768764101579	0.255277132221906	0.878750681210561	0.72093781718979	0.470947774135267	0.817273302949192	Gaining
LOC_00005591	362	0.292427841719315	0.268368660496238	-0.0240591812230765	0.259504328395739	0.88057414081432	-1.76396727007389	0.0777374898256742	0.461985667011023	Losing
LOC_00005592	497	0.266719071952284	0.256653232226193	-0.0100658397260911	0.246533373855595	0.9037820076839	-0.91023281071503	0.362699743986347	0.752759327385634	Losing
LOC_00005593	106	0.0138759545734552	0.025290478556833	0.0114145239833779	0.116557398675788	0.00257306000851185	1.00825617681442	0.313331495307462	0.719961176149251	Gaining
LOC_00005594	583	0.280613052245627	0.282105591323633	0.00149253907800702	0.239552845025527	0.902197197495785	0.150438382420081	0.880418761034438	0.969664439055325	Gaining
LOC_00005595	405	0.461161492225295	0.443967768608934	-0.0171937236163613	0.250145884472485	0.845907621501758	-1.38326086740318	0.166584892339245	0.594942507213976	Losing
LOC_00005596	68	0.0188961695057878	0.0223638397844812	0.00346767027869345	0.0912754620428437	0.00315353859904033	0.313283997996241	0.7540649064235	0.935273884619483	Gaining
LOC_00005597	193	0.0132366120546833	0.0134419129489247	0.000205300894241348	0.0858224469956384	0.0024776337554053	0.0332329276788954	0.973488840126789	0.994360150869531	Gaining
LOC_00005598	553	0.279146037865016	0.268436713673336	-0.0107093241916805	0.24529030994656	0.900440288984492	-1.02670160124993	0.30456099507353	0.719961176149251	Losing
XLOC_013424U_lncRNA	280	0.0266862937530829	0.029787037593285	0.00310074384020217	0.0953920018365677	0.00692565786729525	0.543917387972129	0.586498322971789	0.872442077766199	Gaining
LOC_00005599	521	0.274348938795889	0.256178825214062	-0.0181701135818267	0.223388268172715	0.789087927512571	-1.85659057960373	0.0633694252132892	0.428445724616781	Losing
XLOC_012352U_lncRNA	7	0.491432254500157	0.567140030914512	0.0757077764143551	0.261554005405491	0.852635999406805	0.765822524474558	0.44378190988982	0.800300498103193	Gaining
LOC_00005600	971	0.39329285702941	0.396813820953208	0.00352096392379801	0.230976233369686	0.875827436505441	0.475011249947812	0.634778954737669	0.894705617044819	Gaining
LOC_00005601	1229	0.437367811950069	0.439084746448249	0.00171693449818026	0.235595239368281	0.8506880719946	0.255483676922804	0.798349549326591	0.947427308206911	Gaining
LOC_00005602	215	0.423954470718033	0.424500725487818	0.000546254769785183	0.220885338076204	0.850552138099307	0.036261651765383	0.971073727274358	0.994206605171516	Gaining
LOC_00005603	229	0.255742422643317	0.283548991320894	0.0278065686775771	0.218370107684776	0.853416855774183	1.9269566884042	0.0539850278153769	0.405152498759981	Gaining
XLOC_013428U_lncRNA	261	0.475527356236514	0.480815451996527	0.00528809576001308	0.204603843232238	0.786313214884751	0.417547394032909	0.676278065842094	0.907987789177554	Gaining
LOC_00005604	585	0.217871790734655	0.203415016359684	-0.0144567743749708	0.178268501984164	0.521345326667299	-1.96143861516881	0.0498278791360068	0.39410225841071	Losing
LOC_00005605	24	0.00571248160926511	0.0140788034287185	0.00836632181945335	0.0568327992859521	0.000801282051282051	0.721175790707166	0.4708013647678	0.817120293852523	Gaining
LOC_00005606	439	0.247372685089186	0.241210564321379	-0.00616212076780716	0.210038564830005	0.909132965964742	-0.614700297812671	0.538752663119778	0.852402200447904	Losing
LOC_00005607	48	0.104844046968707	0.0935255741274799	-0.011318472841227	0.125841417216224	0.306516436444543	-0.62313888253211	0.533193260307767	0.848947274030912	Losing
LOC_00005608	269	0.392815793538142	0.39147002156113	-0.00134577197701221	0.235804834146405	0.586924643309917	-0.0936041096325399	0.925423644936025	0.980768834662517	Losing
XLOC_012359U_lncRNA	23	0.0574825959057643	0.058146648531429	0.000664052625664718	0.0953393493695493	0.0114946875087803	0.0334036736810226	0.973352680125249	0.994360150869531	Gaining
