baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_id
71.8671286476336	-0.0142738942435188	0.135530916002812	0.854481037247808	0.931786120405451	LOC_00000004
1675.51183990348	0.152624407300189	0.106876529309496	0.0759226842038273	0.258737391140811	LOC_00000007
1254.9480605415	-0.0675100054418694	0.0879991299488015	0.374381702504864	0.620441386138687	LOC_00000008
9495.10161512163	0.018594773042409	0.0726620856753809	0.772115579099101	0.890728988410219	LOC_00000009
2694.23172021642	0.0981016639047387	0.0944528359585313	0.211861056345101	0.462512694362163	LOC_00000011
675.705959084511	0.0764793819582472	0.113007224596216	0.369498423051069	0.616780843887246	LOC_00000012
1094.04298775017	-0.140879030462253	0.108660341394159	0.0992332928347392	0.301484126107553	LOC_00000014
1029.0110221142	0.0341331153548921	0.120301617719113	0.694766658962942	0.848725683934178	LOC_00000016
6061.9439958873	0.0876909577068952	0.1193755752698	0.311882012198433	0.564589550485637	LOC_00000018
1523.1423411999	0.151939195922938	0.119806333181415	0.0892171360028565	0.283220472625463	LOC_00000019
49.4126262261284	0.0823729370354681	0.162612884298146	0.29668278252865	0.551756176763988	LOC_00000021
2094.31982364737	0.177134973442918	0.0918672670708637	0.0242032413679255	0.131191854515608	LOC_00000023
377.317479737747	0.409734429094751	0.220131967959304	0.0054762065661799	0.051825849074209	LOC_00000024
121.022835345468	0.353283237619381	0.190227029105236	0.00720909298636843	0.0614262385863293	LOC_00000025
2185.58550241001	1.38599403652061	0.175453655662118	0.000000000000000174469382593505	0.0000000000000418893817632378	LOC_00000026
1586.93650658754	0.342958376685121	0.114990426265211	0.000460864046796655	0.00972029380048733	LOC_00000028
2889.8870410985	0.365185581876905	0.100839549535777	0.0000454434056654051	0.00163886125740238	LOC_00000029
1120.49513734107	0.0996096952325147	0.154960445550494	0.260062154567834	0.513589789646244	LOC_00000030
361.681749729561	0.392652752220423	0.3044616047998	0.0130770120933334	0.0905931980078479	LOC_00000031
1854.53513381837	0.109355904761419	0.138645653941269	0.235329490712247	0.487140661829876	LOC_00000032
