motif_id	motif_name	tf_class
MA0231.1	lbe	NK
MA0232.1	lbl	NK
MA0233.1	mirr	TALE-type HD
MA0234.1	oc	Paired-related HD factors
MA0235.1	onecut	HD-CUT
MA0236.1	otp	Paired-related HD factors
MA0238.1	pb	HOX
MA0240.1	repo	Paired-related HD factors
MA0241.1	ro	HOX
MA0242.1	Bgb::run	Runt-related factors
MA0244.1	slbo	CEBP-related
MA0245.1	slou	NK
MA0246.1	so	HD-SINE
MA0248.1	tup	HD-LIM
MA0250.1	unc-4	Paired-related HD factors
MA0251.1	unpg	HOX
MA0253.1	vnd	NK
MA0254.1	vvl	POU domain factors
MA0256.1	zen	HOX
MA0260.1	che-1	More than 3 adjacent zinc fingers
MA0261.1	lin-14	
MA0262.1	mab-3	DMRT factors
MA0263.1	ceh-10::ttx-3	Paired-related HD factors
MA0444.1	CG34031	NK
MA0445.1	D	SOX-related factors
MA0446.1	fkh	FOX
MA0447.1	gt	CEBP-related
MA0448.1	H2.0	NK
MA0449.1	h	Helix-Loop-Helix
MA0450.1	hkb	Three-zinc finger Kruppel-related
MA0454.1	odd	More than 3 adjacent zinc fingers
MA0456.1	opa	More than 3 adjacent zinc fingers
MA0459.1	tll	RXR-related receptors (NR2)
MA0460.1	ttk	Other factors with up to three adjacent zinc fingers
MA0145.2	Tfcp2l1	CP2-related factors
MA0468.1	DUX4	Paired-related HD factors
MA0515.1	Sox6	SOX-related factors
MA0258.2	ESR2	Steroid hormone receptors (NR3)
MA0216.2	cad	HOX
MA0533.1	su(Hw)	Factors with multiple dispersed zinc fingers
MA0534.1	EcR::usp	Thyroid hormone receptor-related factors (NR1)
MA0237.2	pan	High Mobility Group box (HMG)
MA0535.1	Mad	SMAD factors
MA0537.1	blmp-1	More than 3 adjacent zinc fingers
MA0542.1	elt-3	C4-GATA-related
MA0544.1	snpc-4	Myb/SANT domain factors
MA0546.1	pha-4	FOX
MA0595.1	SREBF1	bHLH-ZIP
MA0596.1	SREBF2	bHLH-ZIP
MA0599.1	KLF5	Three-zinc finger Kruppel-related
MA0604.1	Atf1	CREB-related factors
MA0608.1	Creb3l2	CREB-related factors
MA0613.1	FOXG1	FOX
MA0614.1	Foxj2	FOX
MA0636.1	BHLHE41	Hairy-related factors
MA0641.1	ELF4	Ets-related
MA0042.2	FOXI1	FOX
MA0033.2	FOXL1	FOX
MA0153.2	HNF1B	POU domain factors
MA0486.2	HSF1	HSF factors
MA0653.1	IRF9	Interferon-regulatory factors
MA0655.1	JDP2	Fos-related
MA0660.1	MEF2B	Regulators of differentiation
MA0663.1	MLX	bHLH-ZIP
MA0665.1	MSC	Tal-related
MA0667.1	MYF6	MyoD/ASC-related factors
MA0669.1	NEUROG2	Tal-related
MA0676.1	Nr2e1	RXR-related receptors (NR2)
MA0678.1	OLIG2	Tal-related
MA0068.2	PAX4	Paired plus homeo domain
MA0512.2	Rxra	RXR-related receptors (NR2)
MA0083.3	SRF	Responders to external signals (SRF/RLM1)
MA0009.2	TBXT	Brachyury-related factors
MA0689.1	TBX20	TBX1-related factors
MA0691.1	TFAP4	bHLH-ZIP
MA0696.1	ZIC1	More than 3 adjacent zinc fingers
MA0713.1	PHOX2A	Paired-related HD factors
MA0715.1	PROP1	Paired-related HD factors
MA0724.1	VENTX	NK
MA0728.1	Nr2F6	RXR-related receptors (NR2)
MA0729.1	RARA	Thyroid hormone receptor-related factors (NR1)
MA0730.1	RARA	Thyroid hormone receptor-related factors (NR1)
MA0731.1	BCL6B	More than 3 adjacent zinc fingers
MA0472.2	EGR2	Three-zinc finger Kruppel-related
MA0736.1	GLIS2	More than 3 adjacent zinc fingers
MA0737.1	GLIS3	More than 3 adjacent zinc fingers
MA0741.1	KLF16	Three-zinc finger Kruppel-related
MA0088.2	ZNF143	More than 3 adjacent zinc fingers
MA0758.1	E2F7	E2F
MA0770.1	HSF2	HSF factors
MA0771.1	HSF4	HSF factors
MA0773.1	MEF2D	Regulators of differentiation
MA0774.1	MEIS2	TALE-type homeo domain factors
MA0776.1	MYBL1	Myb/SANT domain factors
MA0777.1	MYBL2	Myb/SANT domain factors
MA0105.4	NFKB1	NF-kappaB-related factors
MA0780.1	PAX3	Paired plus homeo domain
MA0783.1	PKNOX2	TALE-type homeo domain factors
MA0787.1	POU3F2	POU domain factors
MA0788.1	POU3F3	POU domain factors
MA0789.1	POU3F4	POU domain factors
MA0792.1	POU5F1B	POU domain factors
MA0794.1	PROX1	HD-PROS factors
MA0795.1	SMAD3	SMAD factors
MA0796.1	TGIF1	TALE-type homeo domain factors
