gene_id	mean_beta	n_cpgs	expression	prom_beta	exon_beta	down_beta	intron_beta
LOC_00000001	0.803153654985328	20	2.41115677268088		0.790052190134427	0.485990002061431	0.82280585226168
LOC_00000004	0.839450318375282	177	3.82406636374186	0.00359848484848485	0.867446863595523	0.00973676427092576	0.835927986688156
LOC_00000007	0.747201312933389	84	8.01905936554076	0	0.784133145684442	0.20754852175888	0.751151960979291
LOC_00000008	0.902213765112076	426	7.64431146437548	0.00817901234567901	0.873758007945676	0.938685528358696	0.909202898451192
LOC_00000009	0.858952940971027	1123	11.5242180410402	0.00437025534851622	0.785423459446247	0.0330300751879699	0.868275765587571
LOC_00000011	0.361637945488063	485	9.000845627436	0.00248427283311004	0.328216324020395	0.494224869828501	0.377824203189557
LOC_00000012	0.744193777931782	574	6.44849701271716	0.00315693911312118	0.621876700987663		0.749068733896946
LOC_00000013	0.0028744589072367	200	0.932623939810295	0.00273692810457516	0.00238243123336291	0	0.00303412351663946
LOC_00000014	0.911605965030676	1639	7.43901779360725	0.00532382307761814	0.740450162097874	0.358860707683965	0.915887536085905
LOC_00000016	0.745032456776236	101	7.17237879713662	0.00596707818930041	0.456924058970901		0.926261932815076
LOC_00000017	0.799895924958021	22	2.00700738473054	0.00396825396825397	0.796208737753894	0.880050505050505	
LOC_00000018	0.881879433549946	566	10.5734072470737	0.000857632933104631	0.895345951989796	0.779948722910217	0.878023112360352
LOC_00000019	0.84731725251083	508	7.82211314497053	0.00807688688123471	0.830371346867324	0.642013318737457	0.850025502271208
LOC_00000020	0	2	0.932623939810295	0.784515996215161	0	0.00964187327823691	
LOC_00000021	0.00353014558684945	448	3.42512344679262	0.00386347720906545	0.00387614490585316	0	0.00354468692501322
LOC_00000022	0.0054227335685884	153	0.932623939810295	0.00208333333333333	0.00445683768650276	0	0.0061554821687913
LOC_00000023	0.908880493500936	285	8.45125536760715	0.113350087669818	0.905738827908687		0.909531266588213
LOC_00000024	0.496995945575656	71	5.36348123377838	0.00626181027966742	0.529036801563217	0.00634411884411884	0.654199254978808
LOC_00000025	0.00564500645971987	478	4.13800093087471	0.00665456745311555	0.00347296187813429	0.00874862276464107	0.00580621536941223
LOC_00000026	0.00703893372691834	747	7.59582960070428		0.00701201604824042	0	0.00702371030070853
LOC_00000027	0.00416666666666667	5	2.99064996162965	0.00617157681786165	0.00416666666666667	0.00372576549047137	
