Region	rho	p
Promoter	0.0128379394409148	0.0609366718067225
Exon	0.430033222526856	0
Intron	0.422547747894851	0
Downstream	0.283311100568289	0
Gene Body	0.407122568484756	0
First exon	-0.00376277533150882	0.623647861524783
Last exon	0.421540314230849	0
Single exon	0.345292828711044	0.00000000000000000000000000000000000000000000000000000000000231992692830033
First intron	0.373227496172671	0
