expr_decile	mean_meth	se	n
D1	8.79133676942555	0.481485765007313	2161
D5	53.4658540736659	0.791898486432171	2160
D7	57.8962118684984	0.775746336213332	2160
D2	23.2534127925563	0.758529195833813	2160
D4	46.8835094645565	0.82199269601642	2160
D9	59.9604152413606	0.742666780229133	2160
D8	59.9665278626672	0.755793163119808	2160
D6	56.3074759639863	0.772199291465647	2160
D10	57.4206258435929	0.746725712399117	2161
D3	35.9313498199973	0.818102431387398	2160
