eye	tail	bodywall	head	juvenile	ovotestis	cond_control	cond_fungicide	cond_irradiated	cond_amputated
-0.127452124754772	-0.0904827637133884	0.11065912703321	0.29326254934701	0.221927600617347	-0.396926414327125	0.2705678353157	-0.581374398661853	0.359816945706656	-0.169806421361602
-0.301007306727495	-0.13585218016272	0.54359944037936	-0.0639871338620775	-0.117859521046065	-0.17612246880258	-0.124790884997703	-0.227481381941068	0.720695676562209	-0.230415107209001
-0.750995473337218	0.253027559635655	-0.0458531010545922	0.456661586798163	0.0616781983604052	0.34243026582693	0.422052738149977	-0.278479683367315	-0.0542931572039481	-0.275006836203211
-0.418929009401751	-0.185229604097299	0.14958283112141	0.229932729278937	-0.0868739010322092	0.482141816087601	0.320405052067391	-0.500515954889676	0.375148642717666	-0.309251074628081
-0.384073699982095	-0.327619285957493	-0.0218926159100249	0.512556466913564	0.452169536079167	0.131890061424327	0.423967467279176	-0.436460871140798	0.213661211558478	-0.364274876009012
0.0310997831113969	0.246346924048624	-0.313234972119868	-0.11773584279636	-0.454849914899136	0.752582294616064	0.186147254170948	-0.451717949513897	-0.0229408907676355	0.137589542983924
-0.169693736771264	-0.120783710072028	-0.279229984812105	-0.00219712235508326	-0.0398968001681215	0.993399019779806	0.239947138020964	-0.0868025355097568	-0.126444659524266	-0.137353338363039
-0.273130574953175	-0.24472875659282	-0.392110117279776	0.351656635068972	0.770043165628225	0.375445258030338	0.389982585028121	-0.142776863331375	-0.16667990271937	-0.252554698435089
-0.331874651131544	-0.443289168917199	0.00499487000615007	0.115562401206782	0.361874925128066	0.656761623508933	0.0950691933994451	0.378748524986076	-0.0607444255933913	-0.372206971960155
-0.409258634721257	-0.353787193437914	0.376797022663246	0.214425859617778	-0.15099019845138	0.367629608793955	-0.203180311108093	0.608395560728695	0.156367075406333	-0.344936559945175
0.0808638133299209	0.111757446896988	0.431376754019364	-0.228970514829548	-0.11129815100705	-0.746100618209078	-0.439209889019388	0.605424326017579	-0.0465002926415595	0.118311197839702
-0.57879203778949	0.134137001815131	0.673831871430848	-0.232489204906916	-0.0613365142754861	-0.273997362236297	-0.344412060083327	0.737328892888796	0.054598650763448	-0.186438485760799
0.0425725522346214	0.169450792453486	0.165442715888818	-0.349036410490865	-0.630781539323042	0.362998913522977	-0.316735707750034	0.48210237358377	-0.166087511214493	0.154051642513021
-0.161128274964339	-0.292132484867002	0.135934030593426	-0.0670518848247218	0.176962652615357	0.303383913393392	-0.187148157498778	0.798257772088238	-0.263013182556978	-0.18414926975022
0.0448512096161298	0.00435174153894066	0.285021194339694	-0.297061266988118	-0.182990049473135	-0.124468553355939	-0.410877452234523	0.825980098556863	-0.255278949764361	0.0729138030947122
0.706977072747484	-0.138865428205399	-0.557987072256232	0.255234318872887	0.352214379326807	-0.442939922510931	0.11267232082893	-0.299393832505882	-0.194639703193007	0.246502412958003
-0.310731376684556	0.29709542392992	0.640577674648483	-0.165412571069208	-0.282355171872238	-0.700377907689171	-0.280644239248855	0.0923955050885245	0.371495748479115	-0.00868777305838792
0.303482496141938	0.271460415643585	0.0883432792299059	-0.0546924595991584	-0.119452304125166	-0.842662447073968	-0.105047846962448	-0.328961760020597	0.168680131880168	0.26039243311454
-0.818058834579749	0.0619919669157431	0.288129007827898	0.220441755319751	0.550656406041854	-0.154089213803604	0.108998202271384	0.256891214481896	0.0263250455293454	-0.362487711125878
