gene_id	module
LOC_00000417	brown
LOC_00000420	turquoise
LOC_00000421	black
LOC_00000422	green
LOC_00000425	yellow
LOC_00000426	turquoise
LOC_00000427	black
LOC_00000428	blue
LOC_00000429	brown
LOC_00000430	turquoise
LOC_00000434	turquoise
LOC_00000435	blue
LOC_00000437	yellow
LOC_00000439	green
LOC_00000440	yellow
LOC_00000442	turquoise
LOC_00000444	turquoise
LOC_00000446	yellow
LOC_00000448	cyan
LOC_00000451	blue
LOC_00000454	turquoise
LOC_00000455	red
LOC_00000459	lightcyan
LOC_00000461	black
LOC_00000463	turquoise
LOC_00000464	blue
LOC_00000466	blue
LOC_00000468	turquoise
LOC_00000472	magenta
LOC_00000474	red
LOC_00000475	yellow
LOC_00000478	yellow
LOC_00000479	blue
LOC_00000481	brown
LOC_00000482	yellow
LOC_00000484	purple
LOC_00000485	purple
LOC_00000486	red
LOC_00000488	yellow
LOC_00000491	magenta
LOC_00000492	yellow
LOC_00000493	yellow
LOC_00000499	brown
LOC_00000500	brown
LOC_00000501	turquoise
LOC_00000502	yellow
LOC_00000503	blue
LOC_00000504	turquoise
LOC_00000505	turquoise
LOC_00000506	blue
LOC_00000509	yellow
LOC_00000511	pink
LOC_00000512	grey
LOC_00000513	salmon
LOC_00000515	yellow
LOC_00000520	turquoise
LOC_00000521	tan
LOC_00000524	turquoise
LOC_00000525	turquoise
LOC_00000526	pink
LOC_00000527	blue
LOC_00000528	blue
LOC_00000529	red
LOC_00000537	turquoise
LOC_00000539	green
LOC_00000540	green
LOC_00000541	pink
LOC_00000543	tan
LOC_00000546	yellow
LOC_00000547	magenta
LOC_00000552	turquoise
LOC_00000553	turquoise
LOC_00000555	green
LOC_00000557	turquoise
LOC_00000558	brown
LOC_00000559	black
LOC_00000561	green
LOC_00000564	yellow
LOC_00000566	turquoise
LOC_00000567	blue
LOC_00000568	turquoise
LOC_00000569	blue
LOC_00000570	brown
LOC_00000571	grey
LOC_00000572	pink
LOC_00000573	yellow
LOC_00000574	pink
LOC_00000575	turquoise
LOC_00000577	turquoise
LOC_00000578	turquoise
LOC_00000579	black
LOC_00000580	turquoise
LOC_00000584	brown
LOC_00000585	yellow
LOC_00000588	red
