gene_id	module	kTotal	kWithin	kME	kWithin_rank	is_hub	n_dmp	mean_diff	has_dmp
LOC_00000013	turquoise	1886.64019414575	1549.7896659492	0.986600189610111	0.97259978425027	TRUE			FALSE
LOC_00000018	red	604.716112037301	157.600108753404	0.980715526224497	1	TRUE			FALSE
LOC_00000022	turquoise	1922.82472050332	1552.35204073029	0.984804660092301	0.974973031283711	TRUE			FALSE
LOC_00000054	green	300.745572285555	153.060505289968	0.906377604473691	0.914784394250513	TRUE			FALSE
LOC_00000066	turquoise	1725.9597965683	1438.54808280215	0.977587375780848	0.906148867313916	TRUE			FALSE
LOC_00000071	blue	657.181525690379	398.095607876635	0.930114706414587	0.990654205607477	TRUE			FALSE
LOC_00000076	yellow	365.969342177894	312.931149177095	0.907328123558261	0.976502732240437	TRUE			FALSE
LOC_00000108	black	568.125107673882	202.711223961632	0.960464968375389	0.957796014067995	TRUE			FALSE
LOC_00000114	blue	736.522853219434	351.368601092406	0.91770541016998	0.954970263381478	TRUE			FALSE
LOC_00000120	turquoise	1799.86781138756	1470.42015292402	0.975857866659018	0.919741100323625	TRUE			FALSE
LOC_00000158	pink	966.281977237879	124.095622676582	-0.973563072361169	0.979057591623037	TRUE			FALSE
LOC_00000166	turquoise	1807.03031053648	1508.1193301125	0.985840005394753	0.943257820927724	TRUE			FALSE
LOC_00000169	yellow	499.114644191723	304.1825852608	0.902379560328684	0.960109289617486	TRUE			FALSE
LOC_00000171	cyan	433.016956905843	20.8769369622708	0.91581547839443	0.958620689655172	TRUE			FALSE
LOC_00000224	purple	176.769397858199	45.1495100702506	0.904032093154509	0.935222672064777	TRUE			FALSE
LOC_00000228	blue	583.059555602396	325.493004498026	0.885067449821002	0.920985556499575	TRUE			FALSE
LOC_00000234	turquoise	1860.84116730101	1552.99427133142	0.988604500658115	0.976267529665588	TRUE			FALSE
LOC_00000235	turquoise	1887.5192393657	1572.66368138593	0.992756107367656	0.991585760517799	TRUE			FALSE
LOC_00000254	turquoise	1795.81673763163	1485.04735289308	0.983199029101427	0.928155339805825	TRUE			FALSE
LOC_00000266	blue	724.900389657563	389.333692352423	0.935318523364012	0.983857264231096	TRUE	1	0.227136339151506	TRUE
LOC_00000267	blue	581.394278676183	332.055166881144	0.914582273968196	0.929906542056075	TRUE			FALSE
LOC_00000301	purple	389.294870199688	44.9901752370993	0.919923919104365	0.927125506072874	TRUE			FALSE
LOC_00000311	grey60	291.102695888403	18.890936307895	0.926647090713909	0.90625	TRUE			FALSE
LOC_00000363	pink	1009.91420792767	113.088979809926	-0.946634985735497	0.924956369982548	TRUE			FALSE
LOC_00000398	turquoise	1837.93220174057	1480.72918914876	0.977029204784249	0.92470334412082	TRUE			FALSE
LOC_00000408	blue	868.858112123095	357.396632140993	0.915927035304735	0.960067969413764	TRUE			FALSE
LOC_00000414	turquoise	1801.06034035354	1483.78595944076	0.979569692958558	0.927076591154261	TRUE			FALSE
LOC_00000421	black	711.213962176034	202.804515713474	0.966891959338106	0.960140679953107	TRUE			FALSE
LOC_00000427	black	514.810625661862	195.983459057815	0.957137728863512	0.942555685814771	TRUE			FALSE
LOC_00000434	turquoise	1882.65446786244	1572.78686436846	0.993014251810853	0.991801510248112	TRUE			FALSE
LOC_00000440	yellow	399.759124990747	296.544250243181	0.916961913162609	0.948633879781421	TRUE			FALSE
LOC_00000479	blue	605.845534226614	319.996639647521	0.882219351263306	0.908241291418862	TRUE			FALSE
LOC_00000491	magenta	230.649620598588	104.420538663109	0.971961735461398	0.92831541218638	TRUE			FALSE
LOC_00000499	brown	708.866761460142	503.248572146734	0.975314542156955	0.963654719838465	TRUE			FALSE
LOC_00000511	pink	1537.84576446224	112.825220634037	-0.9549569203104	0.921465968586387	TRUE	1	-0.248739549747952	TRUE
LOC_00000528	blue	709.915186070509	382.034660286127	0.930727847957936	0.979184367034834	TRUE			FALSE
LOC_00000546	yellow	384.910908261905	274.797722164926	0.89729367470483	0.905464480874317	TRUE	4	-0.226701547853032	TRUE
LOC_00000607	cyan	433.72069640147	20.2384459935108	0.902535807057273	0.924137931034483	TRUE			FALSE
LOC_00000629	red	455.764129838362	116.332333676905	0.919753991740965	0.926966292134832	TRUE			FALSE
LOC_00000634	pink	1200.72129415113	114.430402334322	-0.950517334146771	0.93717277486911	TRUE			FALSE
LOC_00000638	blue	565.002371980435	319.439213665567	0.903412460629054	0.906117247238743	TRUE			FALSE
LOC_00000641	red	535.127724364859	116.534528323461	0.907032620783841	0.928089887640449	TRUE			FALSE
LOC_00000650	yellow	360.888753946053	289.218369112468	0.922755079104047	0.937704918032787	TRUE			FALSE
