eye	tail	bodywall	head	juvenile	ovotestis	cond_control	cond_fungicide	cond_irradiated	cond_amputated
0.433203622982359	0.578718292785655	0.496650590369707	0.0662756715698643	0.168723021729384	0.0112154458752375	0.0912926379865649	0.0000835331828782283	0.0225781055036149	0.294856831864762
0.0591058371484508	0.403242453586732	0.000288857562867981	0.694866216061982	0.468880070344943	0.276992606613036	0.442947018994699	0.15804341458418	0.00000015694389892243	0.152604554706074
0.000000023761104642212	0.115187608991207	0.778746969700684	0.00305656128119155	0.705372773195705	0.0305482652530104	0.00667398788215033	0.0818561289300959	0.739332770605591	0.0859000743527768
0.00713389916803502	0.252506467685637	0.356923321352244	0.153489317822594	0.594015849060932	0.00163048358299669	0.0438366861458178	0.00100500729551149	0.0170671987049095	0.0521674492368182
0.0144159869200636	0.0390478082377222	0.893334249337352	0.000721078410579512	0.00339811451379608	0.417223200299493	0.00640491344492877	0.004868448060444	0.185566480306673	0.0208409812854089
0.848916451197729	0.125435107545117	0.0490571722142289	0.469350000701349	0.00319051612713968	0.0000000213671284899266	0.250122207805196	0.0034342277186148	0.888258265988543	0.397198012019086
0.295182124468971	0.457842394024196	0.0810022377191683	0.989264639006062	0.806901380742387	0.000000000000000000000000000000000000238107881882807	0.135877137929905	0.594320141212616	0.436878101930656	0.398016693753222
0.0881484210382778	0.128016770793623	0.0123354950035955	0.0260709034024158	0.00000000628749281641397	0.0169729162743322	0.012859739787572	0.37946581648886	0.303967898980796	0.115891460867227
0.0364290596221442	0.00417257150892858	0.975597508420136	0.477648906487018	0.0217617294263647	0.00000417548489862535	0.559537690548453	0.0159522423731504	0.709637297856319	0.018026349604165
0.00873484040123225	0.0251183900012724	0.0165487781580371	0.18396018144201	0.352365095127501	0.0196087174180968	0.208593651189473	0.0000311653302458148	0.335278149455622	0.0292735606068349
0.619877528931511	0.492360940974832	0.00545000534714405	0.155265354034182	0.494152464751505	0.0000000328101452769867	0.00457703854335125	0.0000348874305396651	0.775703835741098	0.467165994907171
0.0000913724545726595	0.409261263455637	0.0000018806975861666	0.148842725520495	0.706932216286336	0.0871041458018607	0.0295366228490074	0.0000000574675282523284	0.737917728665483	0.249368688763061
0.794221551668534	0.295884229447262	0.307622242753019	0.0272832271684982	0.0000128248073636366	0.0213263650465922	0.0464490218955688	0.0016321315330049	0.305714208818907	0.34257243699319
0.32058339620275	0.0673770027959173	0.402956507099987	0.681007131573811	0.274670790958042	0.0570341664534609	0.247538899296645	0.000000000682949469290736	0.101066035680808	0.255332843213492
0.783464337322507	0.978738752788004	0.0746428829440608	0.0626775415517631	0.258388991301504	0.444135253795905	0.00844713977680134	0.000000000053345925637584	0.111880608523336	0.654788141713412
0.000000341158426259658	0.392792697115755	0.000183264762077459	0.111945459360345	0.0258187025158545	0.00420593779509664	0.488802382956538	0.0605461349297604	0.228772930032339	0.125189102967864
0.0509937861040323	0.062645906369738	0.00000850354525418418	0.307711629940012	0.0775200071164553	0.000000488056482424	0.0794116109538972	0.570683153771998	0.0182649292848149	0.957568653746828
0.0569495014750509	0.0901878623865415	0.587765903442207	0.737483378213313	0.462850490099659	0.00000000000917259540438376	0.518861057378678	0.0382055856646466	0.298118520107298	0.104637093222431
0.000000000115459017782439	0.703941781851432	0.0713954124172127	0.171666323022825	0.000231676685551414	0.342453304984998	0.503173714713554	0.109556931784012	0.871902418675851	0.0215234624881537
