ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	module
GO:0070085	Glycosylation	40/1264	170/10468	0.235294117647059	1.94862248696947	4.62101923562741	0.0000206378735067751	0.00136725911982385	0.00122499658534367	LOC_00000041/LOC_00003004/LOC_00004036/LOC_00007133/LOC_00007528/LOC_00008119/LOC_00008956/LOC_00008959/LOC_00009827/LOC_00011337/LOC_00011338/LOC_00011806/LOC_00011862/LOC_00013145/LOC_00013235/LOC_00013615/LOC_00014155/LOC_00014159/LOC_00014160/LOC_00014162/LOC_00014168/LOC_00014884/LOC_00014886/LOC_00015914/LOC_00016935/LOC_00018517/LOC_00019759/LOC_00019761/LOC_00019762/LOC_00019768/LOC_00021062/LOC_00021068/LOC_00021071/LOC_00021074/LOC_00021075/LOC_00021079/LOC_00022968/LOC_00024413/LOC_00024976/LOC_00025432	40	blue
GO:0016055	Wnt signaling pathway	20/1264	62/10468	0.32258064516129	2.67149857084524	4.89166027384423	0.0000229402003353348	0.00143979941578352	0.00128998910472936	LOC_00000814/LOC_00004813/LOC_00006332/LOC_00006568/LOC_00010882/LOC_00011489/LOC_00011889/LOC_00012608/LOC_00014373/LOC_00014616/LOC_00017444/LOC_00018150/LOC_00018408/LOC_00018906/LOC_00019402/LOC_00023446/LOC_00023867/LOC_00024043/LOC_00024286/LOC_00024469	20	blue
GO:0198738	Cell-cell signaling by wnt	20/1264	62/10468	0.32258064516129	2.67149857084524	4.89166027384423	0.0000229402003353348	0.00143979941578352	0.00128998910472936	LOC_00000814/LOC_00004813/LOC_00006332/LOC_00006568/LOC_00010882/LOC_00011489/LOC_00011889/LOC_00012608/LOC_00014373/LOC_00014616/LOC_00017444/LOC_00018150/LOC_00018408/LOC_00018906/LOC_00019402/LOC_00023446/LOC_00023867/LOC_00024043/LOC_00024286/LOC_00024469	20	blue
GO:0006022	Aminoglycan metabolic process	21/1264	67/10468	0.313432835820896	2.59573965614963	4.8557714260462	0.0000236129421525128	0.00144402223163444	0.00129377253899058	LOC_00000041/LOC_00002662/LOC_00004708/LOC_00006765/LOC_00007948/LOC_00008753/LOC_00008871/LOC_00010205/LOC_00018177/LOC_00019162/LOC_00020585/LOC_00020874/LOC_00020916/LOC_00021143/LOC_00021461/LOC_00022611/LOC_00022627/LOC_00022721/LOC_00022722/LOC_00023915/LOC_00024267	21	blue
GO:0045471	Response to ethanol	7/1264	10/10468	0.7	5.79715189873418	5.62413187701751	0.0000317356616441278	0.00189018433997816	0.00169351173349031	LOC_00007140/LOC_00010491/LOC_00013951/LOC_00014312/LOC_00014313/LOC_00019902/LOC_00024202	7	blue
GO:0045785	Positive regulation of cell adhesion	17/1264	49/10468	0.346938775510204	2.87322397313356	4.87047223835668	0.0000324937349849496	0.00189018433997816	0.00169351173349031	LOC_00002662/LOC_00005445/LOC_00007514/LOC_00008753/LOC_00011889/LOC_00012195/LOC_00012635/LOC_00015260/LOC_00015274/LOC_00018906/LOC_00021062/LOC_00021068/LOC_00021071/LOC_00021074/LOC_00021075/LOC_00021079/LOC_00023867	17	blue
GO:0030166	Proteoglycan biosynthetic process	12/1264	28/10468	0.428571428571429	3.54927667269439	5.00543795400882	0.0000432985841845891	0.00244122460384359	0.00218721657102615	LOC_00000041/LOC_00006765/LOC_00007948/LOC_00008871/LOC_00013235/LOC_00014354/LOC_00020585/LOC_00020874/LOC_00021143/LOC_00021461/LOC_00022627/LOC_00024267	12	blue
GO:1905114	Cell surface receptor signaling pathway involved in cell-cell signaling	29/1264	112/10468	0.258928571428571	2.14435465641953	4.51200919088619	0.000044013693067201	0.00244122460384359	0.00218721657102615	LOC_00000814/LOC_00004813/LOC_00005410/LOC_00006332/LOC_00006568/LOC_00008792/LOC_00010882/LOC_00011489/LOC_00011889/LOC_00012056/LOC_00012608/LOC_00013906/LOC_00013932/LOC_00014373/LOC_00014616/LOC_00017444/LOC_00018108/LOC_00018150/LOC_00018408/LOC_00018906/LOC_00019402/LOC_00020205/LOC_00023446/LOC_00023867/LOC_00024043/LOC_00024286/LOC_00024469/LOC_00024915/LOC_00024956	29	blue
GO:0006955	Immune response	38/1264	165/10468	0.23030303030303	1.90728807057921	4.35313030009395	0.000054386308581439	0.00294798513560755	0.00264124895742395	LOC_00000174/LOC_00000304/LOC_00000334/LOC_00000405/LOC_00000411/LOC_00000754/LOC_00000757/LOC_00000764/LOC_00000868/LOC_00000872/LOC_00002533/LOC_00004922/LOC_00004923/LOC_00004924/LOC_00004925/LOC_00004926/LOC_00005445/LOC_00006051/LOC_00006052/LOC_00006462/LOC_00011131/LOC_00011705/LOC_00011772/LOC_00011773/LOC_00012091/LOC_00012894/LOC_00013969/LOC_00014064/LOC_00014735/LOC_00015749/LOC_00020095/LOC_00020096/LOC_00020361/LOC_00020544/LOC_00023915/LOC_00024166/LOC_00024265/LOC_00025237	38	blue
GO:0052547	Regulation of peptidase activity	25/1264	92/10468	0.271739130434783	2.25044716565768	4.46416895229404	0.0000618734304253826	0.00327929181254528	0.00293808336288951	LOC_00000135/LOC_00000906/LOC_00005311/LOC_00005445/LOC_00005942/LOC_00006826/LOC_00007140/LOC_00007296/LOC_00007750/LOC_00010205/LOC_00011002/LOC_00016858/LOC_00017314/LOC_00017745/LOC_00018042/LOC_00018084/LOC_00018761/LOC_00018906/LOC_00020364/LOC_00020966/LOC_00020967/LOC_00020970/LOC_00022541/LOC_00023570/LOC_00023867	25	blue
