decile	bin	mean_beta	mean_beta_a	n
D07	-1730	12.5905920443594	13.1273427374793	391
D04	-4110	14.5446765268125	14.405762131888	367
D07	-1500	9.26968812537979	9.30326385767084	485
D04	-4120	17.6110362184351	18.068828915257	374
D07	-1490	10.0025718889482	9.82538921171748	411
D04	-4220	14.0673529693239	14.5487504099216	324
D07	-1390	10.3428730816727	10.6041497002854	425
D04	-4240	17.687554906293	18.2080726523013	343
D04	-4250	12.7818725870261	13.0094584632797	333
D07	-1360	7.5842885338571	7.46362562866703	382
D04	-4260	19.7906936106776	19.386769952079	341
D07	-1340	8.28201592973561	8.27346094572778	397
D04	-4300	15.7851971088622	15.7386091158396	336
D07	-1310	8.84465585278429	9.12477198455709	410
D04	-4320	18.4507834577541	18.5380420226591	312
D04	-4330	19.8143007681115	20.1544156722826	326
D07	-1280	13.9122885390081	13.9564320251971	413
D04	-4340	15.7105011760232	15.8039642262147	319
D07	-1270	12.3454586446344	12.3159726871375	397
D04	-4360	14.8567807238532	14.9184882649181	329
D07	-1250	11.7826585894472	11.8940031684242	454
D04	-4380	21.2692263246726	22.041701921083	350
D04	-4390	17.0189757911435	17.3205118121246	342
D04	-4410	16.8328724058395	16.9921672620145	315
D07	-1200	12.6897444893738	12.7665042774363	451
D04	-4490	21.0337243870013	20.9661027147791	322
D07	-1110	9.47949039142097	9.46851483643909	405
D04	-4500	18.2593233791737	18.2801720812562	340
D04	-4510	19.685069419024	19.4001020663526	318
D04	-4570	17.5724059269626	17.690062680794	328
D04	-4580	13.697424275082	13.5928803165444	313
D04	-4590	18.2281317331248	18.2255150040211	331
D07	-1010	7.91749615284774	7.96395916690638	416
D04	-4620	22.0912577115922	21.8173933738295	315
D04	-4630	13.6467527357086	14.1006442078238	307
D07	-970	7.60627196914455	7.6021869233599	410
D04	-4640	17.2549452991587	17.3035811048292	363
D07	-960	10.6179035012557	10.7290505579037	394
D04	-4650	18.9054934106826	19.3101328338387	358
D04	-4660	19.2642213178508	19.0643316410429	353
D07	-940	9.68266550462799	9.68219272242444	426
D04	-4680	18.3808195377138	18.3222708611586	346
D07	-930	9.01338418492746	9.24540279489372	421
D04	-4700	20.151750086255	20.0834418925618	345
D07	-910	6.49691733362968	6.53395242206348	434
D04	-4760	16.9559572866346	17.3059367365871	332
D07	-840	6.52192520232868	6.79084131004831	419
D04	-4770	15.8632318319964	15.8706216823447	325
D07	-830	7.65791815338155	7.69034599659765	436
D04	-4780	18.0233139299936	17.8904295492354	327
D04	-4790	18.721705154453	19.2715341082448	329
D07	-820	6.20031015249701	6.4422158389383	428
D07	-810	6.72714100015661	6.42535784480648	409
D04	-4860	18.0340422451435	18.2162607622122	347
D07	-750	5.33912428776286	5.34173656822864	424
D04	-4990	15.7877592507456	16.1016079144666	321
D07	-620	4.97901461144503	5.07454736962238	408
D07	-570	3.42272252123725	3.51699221075981	407
D07	-550	2.79172511860403	2.69971408830992	448
D07	-540	3.15547070139976	3.1141777569993	441
D07	-530	1.87652136876743	2.19669941729607	417
D07	-520	1.53438299586867	1.71643759379471	415
D07	-460	2.68698847457612	2.65745207474139	446
D07	-420	2.66329226660326	2.62081242563079	463
D07	-410	2.45131312798533	2.47367510841898	479
D07	-350	3.45595341962941	3.40077563379993	452
D07	-340	2.52110458661014	2.50846096829376	472
D07	-330	1.8952197107927	1.9156453905359	459
D07	-310	1.5197055903198	1.59018009281373	435
D07	-270	2.69051281376572	2.77588207354491	455
D07	-250	3.09264641415423	3.3817087601804	479
D07	-200	2.19151671913521	2.17529643274377	458
D07	-180	2.43223860516764	2.43398652886175	443
D07	-150	2.22856152819393	2.07628159383499	436
D07	-120	1.85529091083901	1.8759256722992	453
D07	-110	0.960641379084302	0.922798529701448	488
D07	30	1.66107728835605	1.62609273358288	708
D07	40	1.34368678724433	1.33397405379891	648
D07	70	2.50419670864641	2.4794889015731	610
D07	110	3.24757117382045	3.05548209927883	503
D07	120	2.77713165838812	2.74996870842819	492
D07	240	2.68568914904749	2.69618054039869	513
D07	270	1.7800568969929	1.87427238500972	490
D07	340	2.2983050748076	2.19330179107723	390
D07	570	25.18574391755	24.4447866410129	369
D07	670	31.1714053695479	30.6441957299219	348
D07	790	45.301175389413	45.3646265817817	367
D07	820	46.7371831024421	48.1595291907603	300
D07	860	46.7674183615858	47.862830428647	363
D07	890	46.7359737192772	46.9051941245533	323
D07	1070	54.4208364802184	55.2663316335408	356
D07	1110	59.7296849893834	60.1364825547109	400
D07	1170	57.0084938272741	56.8595999728727	362
D07	1240	57.8379649134852	58.463575998681	351
D07	1250	57.0213151662423	57.6388034567363	383
D07	1330	68.0925967906252	67.9670736874411	362
D07	1440	56.8488572137739	56.9665259358254	343
D07	1530	55.9715172246255	56.0296924874139	348
D07	1550	60.203524791399	60.3161432422374	362
D07	1590	59.7510766988917	59.9212761368448	378
D07	1620	59.4711266533356	59.9962238506884	374
D07	1650	58.1901082964341	58.1462513605549	377
D07	1670	62.2390840488939	62.3531695948681	363
D07	1920	58.0269981845954	58.3442893729255	345
D07	1990	59.1400175681777	59.2397891563529	370
D05	-4990	19.1964272648422	19.3570781860379	321
D05	-4960	22.6256198159217	22.3710910766172	352
D05	-4860	23.4111499890289	23.6552269503065	349
D05	-4600	22.3851043775631	22.9157907640004	330
D05	-4550	19.2236135258385	19.2591765342225	375
D05	-4350	16.3569789704176	16.1377748549841	355
D05	-4330	19.818144695141	19.5384620084084	338
D05	-4290	18.4679583296031	18.6630901930126	337
D05	-4240	17.8208738551293	17.880459609401	348
D05	-4040	16.9716412377475	17.3287377541942	378
D05	-4030	20.5077737756217	20.7471873798349	327
D05	-4000	20.9706482670929	21.1777848178384	338
D05	-3970	22.023629945962	22.3970805490367	352
D05	-3920	16.9066323442003	17.0589133822491	355
D05	-3730	19.1879601644984	18.963559633591	372
D05	-3690	18.1455880318532	18.3673078401015	336
D05	-3660	19.3637776403116	19.5035144682015	325
D05	-3610	16.8238894336857	16.7327924374497	362
D05	-3580	16.8148520252261	16.5635363179755	367
