motif_name	OR	p	n_spike	n_flank	padj	log2OR	neglog10p
Mad	0	1	4102	0	1	-6.64385618977472	0
blmp-1	0	1	9077	0	1	-6.64385618977472	0
elt-3	0	1	1873	0	1	-6.64385618977472	0
snpc-4	0	1	3504	0	1	-6.64385618977472	0
pha-4	0	1	4429	0	1	-6.64385618977472	0
SREBF1	0	1	4903	0	1	-6.64385618977472	0
SREBF2	0	1	4774	0	1	-6.64385618977472	0
KLF5	0	1	7212	0	1	-6.64385618977472	0
Atf1	0	1	1341	0	1	-6.64385618977472	0
Creb3l2	0	1	3036	0	1	-6.64385618977472	0
FOXG1	0	1	4443	0	1	-6.64385618977472	0
Foxj2	0	1	5034	0	1	-6.64385618977472	0
BHLHE41	0	1	2427	0	1	-6.64385618977472	0
ELF4	0	1	3606	0	1	-6.64385618977472	0
FOXI1	0	1	7118	0	1	-6.64385618977472	0
FOXL1	0	1	9387	0	1	-6.64385618977472	0
HNF1B	0	1	2508	0	1	-6.64385618977472	0
HSF1	0	1	2356	0	1	-6.64385618977472	0
IRF9	0	1	5006	0	1	-6.64385618977472	0
JDP2	0	1	4261	0	1	-6.64385618977472	0
MEF2B	0	1	3888	0	1	-6.64385618977472	0
MLX	0	1	2270	0	1	-6.64385618977472	0
MSC	0	1	3636	0	1	-6.64385618977472	0
MYF6	0	1	3036	0	1	-6.64385618977472	0
NEUROG2	0	1	7198	0	1	-6.64385618977472	0
Nr2e1	0	1	3869	0	1	-6.64385618977472	0
OLIG2	0	1	2649	0	1	-6.64385618977472	0
PAX4	0	1	652	0	1	-6.64385618977472	0
Rxra	0	1	3927	0	1	-6.64385618977472	0
SRF	0	1	1743	0	1	-6.64385618977472	0
TBXT	0	1	1617	0	1	-6.64385618977472	0
TBX20	0	1	2718	0	1	-6.64385618977472	0
TFAP4	0	1	4558	0	1	-6.64385618977472	0
ZIC1	0	1	2901	0	1	-6.64385618977472	0
PHOX2A	0	1	3047	0	1	-6.64385618977472	0
PROP1	0	1	3098	0	1	-6.64385618977472	0
VENTX	0	1	1854	0	1	-6.64385618977472	0
