decile	bin	mean_cpg_per_bin	cpg_per_kb
D01	-4720	1.109375	110.9375
D01	-4690	1.08372093023256	108.372093023256
D01	-4050	1.14229249011858	114.229249011858
D01	-4020	1.08695652173913	108.695652173913
D01	-4010	1.11111111111111	111.111111111111
D01	-3950	1.12996389891697	112.996389891697
D01	-3940	1.14876033057851	114.876033057851
D01	-3900	1.08583690987124	108.583690987124
D01	-3870	1.08296943231441	108.296943231441
D01	-3840	1.11740890688259	111.740890688259
D01	-3750	1.15953307392996	115.953307392996
D01	-3700	1.12727272727273	112.727272727273
D01	-3680	1.0875	108.75
D01	-3640	1.09615384615385	109.615384615385
D01	-3630	1.1284046692607	112.84046692607
D01	-3620	1.11392405063291	111.392405063291
D01	-3610	1.14285714285714	114.285714285714
D01	-3580	1.13307984790875	113.307984790875
D01	-3110	1.11507936507937	111.507936507937
D01	-3090	1.10984848484848	110.984848484849
D01	-3050	1.11152416356877	111.152416356877
D01	-3010	1.08650519031142	108.650519031142
D01	-2970	1.12274368231047	112.274368231047
D01	-2950	1.11196911196911	111.196911196911
D01	-2940	1.16603773584906	116.603773584906
D01	-2930	1.15057915057915	115.057915057915
D01	-2890	1.08203125	108.203125
D01	-2810	1.12	112
D01	-2800	1.1219512195122	112.19512195122
D01	-2780	1.10196078431373	110.196078431373
D01	-2720	1.12363636363636	112.363636363636
D01	-2660	1.08835341365462	108.835341365462
D01	-2570	1.10162601626016	110.162601626016
D01	-2490	1.14516129032258	114.516129032258
D01	-2470	1.13257575757576	113.257575757576
D01	-2440	1.11387900355872	111.387900355872
D01	-2250	1.10843373493976	110.843373493976
D01	-2220	1.1412213740458	114.12213740458
D01	-2190	1.08	108
D01	-1950	1.15	115
D01	-1870	1.10943396226415	110.943396226415
D01	-1860	1.16603773584906	116.603773584906
D01	-1840	1.10367892976589	110.367892976589
D01	-1830	1.11785714285714	111.785714285714
D01	-1770	1.11552346570397	111.552346570397
D01	-1730	1.15302491103203	115.302491103203
D01	-1710	1.096	109.6
D01	-1690	1.12237762237762	112.237762237762
D01	-1640	1.09187279151943	109.187279151943
D01	-1580	1.16877637130802	116.877637130802
D01	-1550	1.12996389891697	112.996389891697
D01	-1540	1.14946619217082	114.946619217082
D01	-1530	1.09920634920635	109.920634920635
D01	730	1.11971830985916	111.971830985916
D01	750	1.11764705882353	111.764705882353
D01	780	1.12048192771084	112.048192771084
D01	820	1.12452830188679	112.452830188679
D01	860	1.11111111111111	111.111111111111
D01	880	1.09056603773585	109.056603773585
D01	920	1.09712230215827	109.712230215827
D01	940	1.11409395973154	111.409395973154
D01	960	1.17182130584192	117.182130584192
D01	970	1.09747292418773	109.747292418773
D01	1230	1.125	112.5
D01	1300	1.08148148148148	108.148148148148
D01	1310	1.11851851851852	111.851851851852
D01	1320	1.12408759124088	112.408759124088
D01	1330	1.09655172413793	109.655172413793
D01	1350	1.14473684210526	114.473684210526
D01	1410	1.11929824561404	111.929824561404
D01	1450	1.12962962962963	112.962962962963
D01	1470	1.12878787878788	112.878787878788
D01	1480	1.08185053380783	108.185053380783
D01	1530	1.10943396226415	110.943396226415
D01	1560	1.10622710622711	110.622710622711
D01	1570	1.1195652173913	111.95652173913
D01	1580	1.11507936507937	111.507936507937
D01	1600	1.10526315789474	110.526315789474
D01	1640	1.14022140221402	114.022140221402
D01	1650	1.13178294573643	113.178294573643
D01	1670	1.12956810631229	112.956810631229
D01	1680	1.13732394366197	113.732394366197
D01	1690	1.12323943661972	112.323943661972
D01	1740	1.12295081967213	112.295081967213
D01	1840	1.11111111111111	111.111111111111
D01	1860	1.09712230215827	109.712230215827
D01	1870	1.12704918032787	112.704918032787
D01	1880	1.13147410358566	113.147410358566
D01	1890	1.0893470790378	108.93470790378
D01	1980	1.09426229508197	109.426229508197
D05	1050	1.08904109589041	108.904109589041
D05	1020	1.11881188118812	111.881188118812
D05	1000	1.13309352517986	113.309352517986
D05	890	1.11671924290221	111.671924290221
D05	840	1.09003215434084	109.003215434084
D05	830	1.11180124223602	111.180124223603
D05	810	1.10030395136778	110.030395136778
D05	790	1.10344827586207	110.344827586207
D05	770	1.14569536423841	114.569536423841
D07	-4980	1.09146341463415	109.146341463415
D07	-4960	1.14199395770393	114.199395770393
D07	-4910	1.14329268292683	114.329268292683
D07	-4890	1.12956810631229	112.956810631229
D07	-4590	1.14325842696629	114.325842696629
D07	-4570	1.1219512195122	112.19512195122
D07	-4390	1.0906432748538	109.06432748538
D07	-4380	1.1271676300578	112.71676300578
D07	-3770	1.12962962962963	112.962962962963
D07	-3730	1.14117647058824	114.117647058824
D07	-3680	1.10204081632653	110.204081632653
D07	-3660	1.1142061281337	111.420612813371
D07	-3620	1.13249211356467	113.249211356467
D07	-3550	1.12538226299694	112.538226299694
D07	-2940	1.15804597701149	115.804597701149
D07	-2920	1.14971751412429	114.971751412429
D07	-2910	1.12380952380952	112.380952380952
D07	-2880	1.14285714285714	114.285714285714
D07	-2840	1.13373860182371	113.373860182371
D07	-2780	1.10833333333333	110.833333333333
D07	-2760	1.10749185667752	110.749185667752
D07	-2750	1.11363636363636	111.363636363636
D07	-2720	1.13213213213213	113.213213213213
D07	-2670	1.10803324099723	110.803324099723
D07	-2610	1.12876712328767	112.876712328767
D07	-2550	1.1436170212766	114.36170212766
D07	-2440	1.1374269005848	113.74269005848
