decile	pos	gc_pct	cpg_oe
D02	-1950	42.4094311377246	0.703321942530274
D03	-1950	41.4455569461827	0.698107727576423
D08	-1950	41.4553170244633	0.688201854220522
D07	-1950	41.8102667337695	0.694759674553248
D10	-1950	41.9936554416789	0.677918272720561
D09	-1950	41.846304454234	0.683387254733004
D06	-1950	41.4500520291363	0.676513523638841
D01	-1950	42.2250970245796	0.694268194846169
D05	-1950	41.3717948717949	0.667836177101969
D04	-1950	41.5194013303769	0.676598522192818
D02	-1940	42.2971556886228	0.694891479577097
D03	-1940	41.3479349186483	0.698801858807385
D08	-1940	41.4323514727908	0.683865037999563
D07	-1940	41.8012078510317	0.697955601572492
D10	-1940	42.0092728160078	0.685334775026993
D09	-1940	41.8066568771415	0.682504182480343
D06	-1940	41.4391259105099	0.675358263192499
D01	-1940	42.1791720569211	0.69916728250974
D05	-1940	41.3958333333333	0.665720301613678
D04	-1940	41.5044345898004	0.680023794913763
D02	-1930	42.252245508982	0.690331710038422
D03	-1930	41.3942428035044	0.69420936053858
D08	-1930	41.526210683974	0.682109983115192
D07	-1930	41.832913940614	0.692285299601802
D10	-1930	41.9902391410444	0.691218757687966
D09	-1930	41.8330885952031	0.684268776363378
D06	-1930	41.5291363163372	0.68250107542498
D01	-1930	42.1623544631307	0.69775756953984
D05	-1930	41.3990384615385	0.66670924579062
D04	-1930	41.5066518847007	0.680491086499392
D02	-1920	42.2148203592814	0.685159527527307
D03	-1920	41.3961201501877	0.688987199457233
D08	-1920	41.4917623564653	0.674947352700014
D07	-1920	41.7775541016608	0.69344208422146
D10	-1920	41.9565641776476	0.690368382772655
D09	-1920	41.781693587861	0.686557657239435
D06	-1920	41.5197710718002	0.677854871176418
D01	-1920	42.1261319534282	0.695653338533272
D05	-1920	41.3969017094017	0.676348827395782
D04	-1920	41.4972283813747	0.675191183910321
D02	-1910	42.1541916167665	0.678069160601572
D03	-1910	41.4662077596996	0.693386833343045
D08	-1910	41.4573140289566	0.67243656102989
D07	-1910	41.7468545546049	0.694807996897226
D10	-1910	41.8081991215227	0.692134329705638
D09	-1910	41.776798825257	0.681598660630239
D06	-1910	41.4859521331946	0.68054079698454
D01	-1910	42.0795601552393	0.701973640658803
D05	-1910	41.4449786324786	0.676617023687728
D04	-1910	41.4645232815965	0.674941561488973
D02	-1900	42.1482035928144	0.676092856522546
D03	-1900	41.3911138923655	0.695681648429462
D08	-1900	41.5082376435347	0.670485736035093
D07	-1900	41.6874685455461	0.698428389496078
D10	-1900	41.7247437774524	0.691664293361285
D09	-1900	41.7919725893294	0.679598437751393
D06	-1900	41.5837669094693	0.687424062371081
D01	-1900	42.0103492884864	0.752043984223094
D05	-1900	41.4861111111111	0.672666986220884
D04	-1900	41.5659645232816	0.673605852048318
D02	-1890	42.0591317365269	0.675838491096716
D03	-1890	41.4236545682103	0.688891710954079
D08	-1890	41.4762855716425	0.68093432482048
D07	-1890	41.7317564167086	0.697025415000046
D10	-1890	41.7110785749146	0.689521633014167
D09	-1890	41.6818404307391	0.684324221765618
D06	-1890	41.6930280957336	0.685117603914955
D01	-1890	42.0795601552393	0.725292579327179
D05	-1890	41.465811965812	0.674869561612595
D04	-1890	41.6164079822616	0.674309611948699
D02	-1880	41.9760479041916	0.665388849864368
D03	-1880	41.4812265331665	0.697468365426193
D08	-1880	41.5232151772342	0.680089204729804
D07	-1880	41.7725213890287	0.698808669189601
D10	-1880	41.8574914592484	0.692095509108938
D09	-1880	41.7151248164464	0.682656228380295
D06	-1880	41.7450572320499	0.686404985942117
D01	-1880	42.1164294954722	0.709213318783364
D05	-1880	41.4529914529915	0.675812590262897
D04	-1880	41.569844789357	0.682515155747828
D02	-1870	41.8787425149701	0.659973569545793
D03	-1870	41.4599499374218	0.70170004805225
D08	-1870	41.5207189216176	0.684262812577616
D07	-1870	41.7886260694514	0.701424200112124
D10	-1870	41.9448511469009	0.692449370276328
D09	-1870	41.7508565834557	0.683172112649136
D06	-1870	41.7736732570239	0.681669769353777
D01	-1870	42.117723156533	0.710186530770746
D05	-1870	41.4759615384615	0.677542127439024
D04	-1870	41.6058758314856	0.692898997632589
D02	-1860	41.8652694610779	0.662887075396569
D03	-1860	41.4574468085106	0.701231032390029
D08	-1860	41.5601597603595	0.690934494452011
D07	-1860	41.7710115752391	0.70324152021266
D10	-1860	41.9882869692533	0.693165954080274
D09	-1860	41.7200195790504	0.67941559858509
D06	-1860	41.8558792924038	0.682523291364484
D01	-1860	42.0737386804657	0.70389893414981
D05	-1860	41.5005341880342	0.675063719720827
D04	-1860	41.620288248337	0.70059949491839
D02	-1850	41.7986526946108	0.663646699022215
D03	-1850	41.4536921151439	0.701135568623073
D08	-1850	41.573639540689	0.692232991577325
D07	-1850	41.7508807247106	0.698776453842455
D10	-1850	41.9238653001464	0.685388372740614
D09	-1850	41.7209985315712	0.683901608001994
D06	-1850	41.8907388137357	0.685224277200141
D01	-1850	42.1720569210867	0.712797473581515
D05	-1850	41.6014957264957	0.673920252421647
D04	-1850	41.6812638580931	0.720164814397196
D02	-1840	41.7829341317365	0.659222549755561
