gene_id	n_dmp	mean_diff	n_hyper	n_hypo	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	dmp_bin	display_name	concordant	quadrant
LOC_00004436	19	0.218608117579526	16	3	0.457942308666344	0.0283254163499646	9145.22540673063	TRUE	Hyper	Cubn	>10	Cubn	TRUE	Hyper_Up
LOC_00013535	13	-0.167902860627608	3	10	-0.450136447127749	0.00432382512946097	897.417549465558	TRUE	Hypo	Kbtbd3	>10	Kbtbd3	TRUE	Hypo_Down
LOC_00007196	16	0.244385904538997	16	0	0.448695476202921	0.00365061766628725	2874.61451889432	TRUE	Hyper	futsch	>10	futsch	TRUE	Hyper_Up
LOC_00005371	6	0.193550759447613	6	0	0.448250392862079	0.0169417016175069	214.30296254295	TRUE	Hyper	Ubald1	6-10	Ubald1	TRUE	Hyper_Up
LOC_00008238	3	0.319399456098497	3	0	0.448232742210853	0.00274605201946699	12308.8535625793	TRUE	Hyper	AAEL006169	2-3	AAEL006169	TRUE	Hyper_Up
LOC_00006432	5	-0.436420456235964	0	5	-0.447172133565105	0.0260881653784277	3025.52235240512	TRUE	Hypo	DTX3L	4-5	DTX3L	TRUE	Hypo_Down
LOC_00000682	3	-0.248372564502138	0	3	-0.441453291202013	0.0292126740110662	5082.87446229088	TRUE	Hypo		2-3	LOC_00000682	TRUE	Hypo_Down
LOC_00018548	13	0.1390246017638	11	2	-0.438555548084092	0.00329880900252108	1795.15763686118	TRUE	Hyper		>10	LOC_00018548	FALSE	Hyper_Down
LOC_00013628	29	-0.21029860656879	1	28	-0.436272453017277	0.00149215071770716	5286.50101264215	TRUE	Hypo	PTPRA	>10	PTPRA	TRUE	Hypo_Down
LOC_00011842	14	-0.249064560234365	0	14	-0.43147331134416	0.0123679795358067	1489.64009858699	TRUE	Hypo	Met	>10	Met	TRUE	Hypo_Down
LOC_00018855	5	-0.300819557939245	0	5	0.43076997017069	0.000113522248248895	1802.27388145561	TRUE	Hypo	F10	4-5	F10	FALSE	Hypo_Up
LOC_00000962	6	0.317611643763514	6	0	-0.427043215929742	0.00855008853234295	1311.83787547256	TRUE	Hyper		6-10	LOC_00000962	FALSE	Hyper_Down
LOC_00019921	5	0.194728504258884	5	0	0.427005729753062	0.000618619125407134	10403.5807464944	TRUE	Hyper	ZFAND5	4-5	ZFAND5	TRUE	Hyper_Up
LOC_00004972	4	0.250908783225048	4	0	0.426967156809445	0.0339313958351549	879.82014182104	TRUE	Hyper		4-5	LOC_00004972	TRUE	Hyper_Up
LOC_00007309	8	-0.20233690200739	0	8	0.42468490172209	0.000444492879895352	6222.77724234196	TRUE	Hypo	Wdr5b	6-10	Wdr5b	FALSE	Hypo_Up
LOC_00010665	3	0.303378354859635	3	0	-0.424049697229209	0.0469159487405111	184.975568923352	TRUE	Hyper	mggB	2-3	mggB	FALSE	Hyper_Down
LOC_00002583	8	-0.286809715547304	0	8	-0.423431106513308	0.0213031553818194	391.563928177244	TRUE	Hypo	ERCC6L2	6-10	ERCC6L2	TRUE	Hypo_Down
LOC_00004813	13	-0.164813187424127	1	12	0.421261320743816	0.000180857537320385	2846.5781515264	TRUE	Hypo	pan	>10	pan	FALSE	Hypo_Up
LOC_00015791	13	-0.27423643291612	0	13	-0.42019759549884	0.00893635702418741	849.728478890978	TRUE	Hypo	Rabep1	>10	Rabep1	TRUE	Hypo_Down
