gene_id	n_dmr	mean_dmr_diff	total_cpgs	log2FoldChange	padj	baseMean	de	meth_direction	gene_name	display_name	concordant	quadrant
LOC_00003555	1	0.189945873850944	8	0.402518110661362	0.0112050762634323	9960.3533974853	TRUE	Hyper	zfp36l2-A	zfp36l2-A	TRUE	Hyper_Up
LOC_00014821	1	0.302519425900988	6	-0.401846915645514	0.00304769318019919	1218.20866944557	TRUE	Hyper	TGRH88_077530	TGRH88_077530	FALSE	Hyper_Down
LOC_00005902	1	-0.334794232799313	10	0.401519060415526	0.0263083838330606	1859.93790522113	TRUE	Hypo	sgmA	sgmA	FALSE	Hypo_Up
LOC_00004331	1	-0.21015074289741	5	0.399465550368455	0.00727624748635399	877.571674308672	TRUE	Hypo	IHH	IHH	FALSE	Hypo_Up
LOC_00002875	4	-0.083544696278251	28	-0.396067568256242	0.0013482058596839	2254.21225650143	TRUE	Hypo	Ssbp3	Ssbp3	TRUE	Hypo_Down
LOC_00006523	1	-0.258324074490771	19	-0.394099112204457	0.00204817296133217	1099.86468951104	TRUE	Hypo	Cdkl4	Cdkl4	TRUE	Hypo_Down
LOC_00014481	1	0.245303050890955	6	0.38762787676649	0.00119544355309879	22791.7666589507	TRUE	Hyper	Col4a1	Col4a1	TRUE	Hyper_Up
LOC_00015659	1	-0.209316089198581	5	0.384744669985698	0.000792283530754622	7571.82387693065	TRUE	Hypo	SEPTIN2	SEPTIN2	FALSE	Hypo_Up
LOC_00005855	1	-0.234827686409182	6	-0.384338538487861	0.0194509906651029	884.728342546132	TRUE	Hypo		LOC_00005855	TRUE	Hypo_Down
LOC_00006896	1	0.177553698725808	9	0.382029908621493	0.00262038805006667	1322.39302732198	TRUE	Hyper	Pgant5	Pgant5	TRUE	Hyper_Up
LOC_00005370	1	0.193550759447613	6	0.3813329585067	0.0116177635048629	1583.28828802705	TRUE	Hyper		LOC_00005370	TRUE	Hyper_Up
LOC_00002436	1	0.308760561332152	6	0.377591976202381	0.0172114662756859	3658.36113585507	TRUE	Hyper	GALE	GALE	TRUE	Hyper_Up
LOC_00020798	1	0.367051551258536	14	-0.375897935201155	0.0288345407282786	2006.20624049949	TRUE	Hyper	KCNAB2	KCNAB2	FALSE	Hyper_Down
LOC_00024590	1	0.280795951018456	8	-0.374339748938019	0.0327352468821603	2207.94639128464	TRUE	Hyper	DOCK2	DOCK2	FALSE	Hyper_Down
LOC_00021575	1	0.27698823014688	7	-0.370699421853599	0.0369937870235886	502.959985391284	TRUE	Hyper	NEK10	NEK10	FALSE	Hyper_Down
LOC_00017118	1	-0.300670735281429	4	-0.365235778728058	0.0437321837952313	369.709862571824	TRUE	Hypo	EFNB2	EFNB2	TRUE	Hypo_Down
LOC_00019938	1	0.0309234281759659	5	-0.365039653775748	0.0325962256185876	281.927894597728	TRUE	Hyper	SV2B	SV2B	FALSE	Hyper_Down
