gene_id	n_dmr	mean_dmr_diff	total_cpgs	log2FoldChange	padj	baseMean	de	meth_direction	gene_name
LOC_00000055	1	0.222595005186415	6	0.600240800012867	0.0000530112698190225	1637.77414370978	TRUE	Hyper	y
LOC_00000056	2	0.227235129225108	11	5.02182080003814	0.0000000000000000468140826381633	38.217528545733	TRUE	Hyper	
LOC_00000057	1	0.231875253263801	5	-0.20295600325079	0.173682338352787	839.030039596207	FALSE	Hyper	WASF3
LOC_00000081	1	-0.216728150148342	4	-0.126053298252085	0.367881253093311	55.6632822405995	FALSE	Hypo	METTL27
LOC_00000161	1	-0.191658414668444	4	0.0896512947952629	0.560076872364639	12988.2690147879	FALSE	Hypo	glt1
LOC_00000178	1	-0.345267536606127	7	-0.262310003609091	0.050970926890524	875.721122489334	FALSE	Hypo	Zinc
LOC_00000179	1	0.235715092369923	6	0.0376214783321969	0.826172370127661	287.486460776205	FALSE	Hyper	Bdh2
LOC_00000180	1	0.235715092369923	6	-0.0820808774498905	0.598232162471913	233.068869984635	FALSE	Hyper	PDXK
LOC_00000182	1	-0.216301140102172	5	-0.0294130527689957	0.856339589342271	7398.2941094125	FALSE	Hypo	GFUS
LOC_00000187	1	0.274447673058369	12	0.0736003941476124	0.599826997306758	2059.42800796931	FALSE	Hyper	Scaf4
LOC_00000192	1	-0.251454224886679	6	0.0378773218252718	0.75866871059956	82.7183861304	FALSE	Hypo	Ros1
LOC_00000196	1	0.235981658359691	5	-0.103006417852828	0.491672736340507	651.647512114463	FALSE	Hyper	CYP2U1
LOC_00000221	2	0.285696029438414	15	0.018660934706505	0.905859995169729	108.371559999538	FALSE	Hyper	Tubulin
LOC_00000240	1	-0.17350193165877	4	-0.263996405514563	0.120027229611389	3546.52456198156	FALSE	Hypo	PIAP
LOC_00000245	1	-0.229991600300737	9	0.0909577121375927	0.415105154673235	4405.4323370575	FALSE	Hypo	Maco1a
LOC_00000257	1	0.275223641568456	5	-0.357174601201652	0.00203619535319924	7982.74175673196	TRUE	Hyper	GOLGB1
LOC_00000271	1	-0.199796080230506	6	0.132410374490069	0.317375999419417	9174.72008179681	FALSE	Hypo	DMD
LOC_00000302	1	0.326270533469696	4	-0.145264258547195	0.281621020074932	3569.28353814868	FALSE	Hyper	PICALM
LOC_00000364	1	-0.2372596748707	14	-0.119604923603985	0.364073389418264	2851.73486932161	FALSE	Hypo	Hex-t2
LOC_00000368	1	-0.364115200527558	17	-0.263036640953674	0.0484560749145332	842.861278474763	TRUE	Hypo	ARHGAP8
LOC_00000369	1	-0.364115200527558	17	-0.193896743196977	0.245870856012971	179.327391374254	FALSE	Hypo	Pawr
LOC_00000372	1	0.186162177828247	5	0.175115109759413	0.243524612347429	1365.8671987464	FALSE	Hyper	MRPS35
LOC_00000455	1	-0.351146271945148	11	-0.196946031780913	0.138798219569409	5051.40791304228	FALSE	Hypo	osa
LOC_00000487	1	0.288876963814242	9	-0.0707942749082834	0.628067330526024	2770.34997551543	FALSE	Hyper	Kpna6
LOC_00000503	1	-0.206883998586125	4	-0.336977484606319	0.0765999833272689	238.455032674832	FALSE	Hypo	
LOC_00000504	1	-0.206883998586125	4	0.236539683622559	0.0345965421952118	2928.20827853937	TRUE	Hypo	
LOC_00000523	1	0.313312497059451	4	0.0321869362163209	0.830555080673152	1188.05088349624	FALSE	Hyper	Ascc3
LOC_00000529	1	0.173954439107651	8	-0.276019607090854	0.12825158228408	921.841217528835	FALSE	Hyper	TUB
LOC_00000569	1	-0.239410032858226	4	-0.0526703067407342	0.747542759056034	327.6196232965	FALSE	Hypo	ANKRD6
LOC_00000571	1	-0.280173710928255	4	0.0626562276209341	0.658727249089531	1593.20682264589	FALSE	Hypo	NADSYN1
LOC_00000572	1	-0.280173710928255	4	-0.0373541632003122	0.824946027692429	448.30493996708	FALSE	Hypo	PPIL4
LOC_00000595	1	-0.323446161418184	10	0.0245906964629182	0.884135491951862	327.473367402886	FALSE	Hypo	TYMP
LOC_00000604	1	-0.256467067393797	5	-0.0170256691344842	0.913188278421429	2692.49690344597	FALSE	Hypo	PAE3
LOC_00000605	1	-0.256467067393797	5	-0.00838737707441448	0.961768285294376	815.870243734161	FALSE	Hypo	pol
LOC_00000615	1	-0.212045748399561	5	-0.255689260974495	0.0769678181907665	472.881954075542	FALSE	Hypo	MORC3
LOC_00000618	1	0.189082679563178	4	0.0813596698451025	0.583357300253976	1935.89889509019	FALSE	Hyper	Rwdd1
