tf_upper	yin_source	yin_call	yin_enrichment	mm_class	mm_high	mm_low	mm_cell	final_call	sources_agree
VDR				MethylMinus	0.0583	0.739	LNCaP	MethylMinus	
VEZF1				MethylMinus	0	0.868	K562	MethylMinus	
VSX1	DBD	MethylPlus	0.51578938					MethylPlus	
VSX2	DBD	MethylPlus	0.69999985					MethylPlus	
WIZ				MethylPlus	0.4796	0.0271	HEK293T	MethylPlus	
WT1				MethylMinus	0.052	0.7612	HEK293	MethylMinus	
XBP1	FL_only	MethylMinus	-0.29941171					MethylMinus	
YY1	FL_only	Ambiguous	0.71839817	MethylMinus	0.0291	0.7103	K562	Ambiguous	FALSE
YY2	FL_only	Multiple	-0.19547874	MethylMinus	0.0186	0.9138	HEK293	Multiple	FALSE
ZBED1	DBD	MethylMinus	-0.77066116					MethylMinus	
ZBTB12				MethylMinus	0.0893	0.7081	HEK293	MethylMinus	
ZBTB14	DBD	MethylMinus	-0.89722786					MethylMinus	
ZBTB2	DBD	MethylMinus	-0.24166674	MethylMinus	0.0316	0.7318	GM12878	MethylMinus	TRUE
ZBTB20	DBD	MethylPlus	0.27254093	MethylMinus	0.0309	0.7908	HEK293	MethylPlus	FALSE
ZBTB21				MethylMinus	0.0634	0.7061	HEK293	MethylMinus	
ZBTB33				MethylMinus	0	0.9289	SK-N-SH	MethylMinus	
ZBTB40				Intermediate	0.1156	0.4771	K562	Intermediate	
ZBTB44				MethylMinus	0.0559	0.648	HEK293	MethylMinus	
ZBTB5				MethylMinus	0	0.844	K562	MethylMinus	
ZBTB6				MethylMinus	0.1282	0.6881	HEK293	MethylMinus	
ZBTB7A	DBD	MethylMinus	-0.70892021	MethylMinus	0.0286	0.7429	K562	MethylMinus	TRUE
ZBTB7B	DBD	MethylMinus	-0.52941177	Intermediate	0.0909	0.2727	MCF-7	MethylMinus	FALSE
ZEB1				MethylMinus	0	0.9167	GM12878	MethylMinus	
ZEB2				Intermediate	0.193	0.4815	SNU398	Intermediate	
ZFHX2				Intermediate	0.2797	0.4232	HEK293	Intermediate	
ZFP3				Intermediate	0.357	0.3443	HEK293	Intermediate	
ZFP36				MethylMinus	0.0703	0.6372	K562	MethylMinus	
ZFP41	FL_only	inconclusive	0.60156239					inconclusive	
ZFP42	DBD	Multiple	-0.14285707					Multiple	
ZFP64				MethylMinus	0.1225	0.6122	HepG2	MethylMinus	
ZFP69B				MethylMinus	0.1127	0.6431	HEK293	MethylMinus	
ZFP91				MethylMinus	0.0582	0.6497	K562	MethylMinus	
ZFX				MethylMinus	0	0.7473	K562	MethylMinus	
ZHX1				MethylMinus	2e-04	0.9553	K562	MethylMinus	
ZIC1*	DBD	inconclusive	0.02985072					inconclusive	
ZIC2				Intermediate	0.2084	0.4723	HEK293	Intermediate	
ZIC3	FL_only	inconclusive	0.2142111					inconclusive	
ZIC3*	DBD	inconclusive	0.15625					inconclusive	
ZIC4	DBD	inconclusive	0.0625					inconclusive	
ZIC5	DBD	inconclusive	0.15909076					inconclusive	
ZKSCAN1				Intermediate	0.225	0.4263	K562	Intermediate	
ZKSCAN8				Intermediate	0.0825	0.4799	K562	Intermediate	
ZMYM3				Intermediate	0.0784	0.4419	K562	Intermediate	
ZNF10				Intermediate	0.2305	0.4875	HEK293	Intermediate	
ZNF112				MethylPlus	0.5694	0.0278	HEK293	MethylPlus	
ZNF12	DBD	MethylPlus	0.55408192					MethylPlus	
ZNF121				MethylPlus	0.5028	0.2644	HEK293	MethylPlus	
ZNF133				MethylPlus	0.5866	0.1039	HEK293	MethylPlus	
ZNF140	DBD	Little effect	0.06950438	MethylPlus	0.7143	0.1429	HEK293	Little effect	FALSE
ZNF143				MethylMinus	0.072	0.6816	MCF-7	MethylMinus	
ZNF146				Intermediate	0.3426	0.2297	HEK293	Intermediate	
ZNF148				MethylMinus	0.0259	0.69	K562	MethylMinus	
ZNF16				MethylPlus	0.4126	0.2195	HEK293	MethylPlus	
ZNF174	DBD	MethylPlus	0.56862736					MethylPlus	
ZNF177	DBD	inconclusive	0.15714288					inconclusive	
ZNF18				Intermediate	0.3053	0.4033	HEK293	Intermediate	
ZNF184				Intermediate	0.1782	0.3831	K562	Intermediate	
ZNF189				Intermediate	0.1984	0.5386	HEK293	Intermediate	
ZNF2				MethylMinus	0.0168	0.9151	HEK293	MethylMinus	
ZNF211				Intermediate	0.4	0.2	HEK293	Intermediate	
ZNF214				Intermediate	0.3282	0.2659	HEK293	Intermediate	
ZNF217				MethylMinus	0	0.9942	MCF-7	MethylMinus	
ZNF223				MethylMinus	0.1292	0.6409	HEK293	MethylMinus	
ZNF23	DBD	MethylPlus	0.36329998	MethylPlus	0.5581	0.093	HEK293	MethylPlus	TRUE
ZNF239				MethylPlus	0.6596	0.1847	HEK293	MethylPlus	
ZNF24				Intermediate	0.126	0.3967	GM12878	Intermediate	
ZNF26				MethylPlus	0.5402	0.0893	HEK293	MethylPlus	
ZNF263				Intermediate	0.1858	0.5732	HEK293	Intermediate	
ZNF274	DBD	MethylPlus	0.1309067	Intermediate	0.1995	0.1067	HCT116	MethylPlus	FALSE
ZNF280C				MethylPlus	0.5001	0.2689	HEK293	MethylPlus	
ZNF280D				MethylPlus	0.5799	0.2547	HEK293	MethylPlus	
ZNF300				Intermediate	0.0871	0.4773	HEK293	Intermediate	
ZNF302				MethylPlus	0.6	0.2	HEK293	MethylPlus	
ZNF316				Intermediate	0.0757	0.5624	K562	Intermediate	
ZNF32	FL_only	MethylPlus	0.71428596					MethylPlus	
ZNF341				Intermediate	0.1316	0.5898	HEK293	Intermediate	
ZNF343	DBD	MethylPlus	0.09345806					MethylPlus	
ZNF345	DBD	Multiple	0.58953712					Multiple	
ZNF350				Intermediate	0.2225	0.294	HEK293	Intermediate	
ZNF362				Intermediate	0.3761	0.3816	HEK293	Intermediate	
ZNF37A				MethylMinus	0.0708	0.6736	HEK293	MethylMinus	
ZNF407				MethylMinus	0.0022	0.8911	K562	MethylMinus	
ZNF410				Intermediate	0.0556	0.5298	K562	Intermediate	
ZNF423				MethylMinus	0.0156	0.8208	HEK293	MethylMinus	
ZNF444	FL_only	MethylPlus	0.3267815	MethylMinus	4e-04	0.9664	MCF-7	MethylPlus	FALSE
ZNF449				Intermediate	0.1531	0.5603	HEK293	Intermediate	
ZNF460	DBD	MethylMinus	-0.66969147					MethylMinus	
ZNF491				Intermediate	0.05	0.55	HEK293	Intermediate	
ZNF507				Intermediate	0.0759	0.4965	K562	Intermediate	
ZNF513				MethylPlus	0.4369	0.2659	HEK293	MethylPlus	
ZNF524	FL_only	MethylPlus	0.63817631					MethylPlus	
ZNF529				MethylPlus	0.5673	0.0769	HEK293	MethylPlus	
ZNF530				Intermediate	0.1287	0.5929	HEK293	Intermediate	
ZNF544				Intermediate	0.1771	0.441	HEK293	Intermediate	
ZNF547				MethylPlus	0.5	0.1875	HEK293	MethylPlus	
ZNF548				MethylPlus	0.5375	0.2392	HEK293	MethylPlus	
ZNF549				Intermediate	0.2245	0.5116	HEK293	Intermediate	
ZNF558				MethylPlus	0.5826	0.0583	HEK293	MethylPlus	
ZNF574				MethylMinus	0.0063	0.9557	MCF-7	MethylMinus	
ZNF580				MethylPlus	0.4749	0.2746	HEK293	MethylPlus	
ZNF585B				MethylPlus	0.4187	0.2955	HEK293	MethylPlus	
ZNF592				Intermediate	0.091	0.449	K562	Intermediate	
ZNF596				MethylPlus	0.4631	0.1699	HEK293	MethylPlus	
ZNF597	FL_only	inconclusive	1.15757607	MethylMinus	0	0.8459	GM12878	MethylMinus	FALSE
ZNF610				MethylMinus	0.0745	0.7689	HEK293	MethylMinus	
ZNF623				MethylPlus	0.5642	0.1494	HEK293	MethylPlus	
ZNF624				Intermediate	0.0833	0.5417	HEK293	Intermediate	
ZNF629				MethylMinus	0.043	0.6782	HEK293	MethylMinus	
ZNF639				MethylMinus	0	0.9191	K562	MethylMinus	
ZNF644				MethylPlus	0.6522	0.0196	HEK293T	MethylPlus	
ZNF652				Intermediate	0.2426	0.4278	HepG2	Intermediate	
ZNF654				MethylMinus	0.0145	0.824	HEK293	MethylMinus	
ZNF664				MethylPlus	0.4535	0.2177	HEK293	MethylPlus	
ZNF677				Intermediate	0.3588	0.2795	HEK293	Intermediate	
ZNF680				Intermediate	0.3533	0.3677	HEK293	Intermediate	
ZNF692				MethylMinus	0.1382	0.6285	HEK293	MethylMinus	
ZNF701				MethylMinus	0.091	0.6085	HEK293	MethylMinus	
ZNF704	FL_only	MethylMinus	-0.94627808					MethylMinus	
ZNF707				Intermediate	0.3931	0.2751	HEK293	Intermediate	
ZNF713	DBD	MethylPlus	0.83823517					MethylPlus	
ZNF740	DBD	MethylPlus	0.13622677	MethylMinus	0.0558	0.6727	K562	MethylPlus	FALSE
ZNF75A				MethylMinus	3e-04	0.9325	K562	MethylMinus	
ZNF76	DBD	inconclusive	0.199609905	MethylMinus	0.0047	0.9547	HEK293	MethylMinus	FALSE
ZNF768				MethylPlus	0.4732	0.2727	HEK293	MethylPlus	
ZNF771	DBD	MethylPlus	0.25999987					MethylPlus	
ZNF784	FL_only	MethylPlus	0.54213036					MethylPlus	
ZNF792				Intermediate	0.242	0.4692	HEK293	Intermediate	
ZNF821	FL_only	MethylPlus	0.87519165					MethylPlus	
ZNF83				MethylMinus	0.0436	0.7398	K562	MethylMinus	
ZNF830				Intermediate	0.081	0.5665	HEK293	Intermediate	
ZSCAN1	DBD	inconclusive	0.85074631					inconclusive	
ZSCAN16				Intermediate	0.1199	0.5719	HEK293	Intermediate	
ZSCAN2				MethylMinus	0	0.9231	HepG2	MethylMinus	
ZSCAN29	DBD	MethylPlus	0.2222221	MethylMinus	0.0048	0.7635	K562	MethylPlus	FALSE
ZSCAN31	FL_only	MethylPlus	2.84188561					MethylPlus	
ZSCAN4	DBD	inconclusive	1.00501274					inconclusive	
