tf_upper	yin_source	yin_call	yin_enrichment	mm_class	mm_high	mm_low	mm_cell	final_call	sources_agree
ETV3	DBD	MethylMinus	-0.827201805					MethylMinus	
ETV4	DBD	MethylMinus	-0.89407661	MethylMinus	0.0073	0.9372	HepG2	MethylMinus	TRUE
ETV5	DBD	MethylMinus	-0.76223778					MethylMinus	
ETV6				MethylMinus	0.0011	0.872	GM12878	MethylMinus	
FEV	DBD	MethylMinus	-0.74270643					MethylMinus	
FLI1	DBD	MethylMinus	-0.927225725					MethylMinus	
FOS	DBD	MethylMinus	-0.43023266	MethylMinus	0.0246	0.6419	MCF-7	MethylMinus	TRUE
FOSB	DBD	inconclusive	0.09890116					inconclusive	
FOSL1				MethylMinus	0.0263	0.6474	HCT116	MethylMinus	
FOSL2				Intermediate	0.0156	0.3938	SK-N-SH	Intermediate	
FOXA1				Intermediate	0	0.5625	LNCaP	Intermediate	
FOXA2				MethylMinus	0.0941	0.7104	HepG2	MethylMinus	
FOXA3				MethylMinus	0	0.7692	HepG2	MethylMinus	
FOXG1	DBD	MethylPlus	-0.20440256					MethylPlus	
FOXH1				Intermediate	0.367	0.1642	H9	Intermediate	
FOXJ3	DBD	MethylPlus	0.12636185					MethylPlus	
FOXK2				MethylMinus	0.0027	0.9086	K562	MethylMinus	
FOXM1				MethylMinus	0	0.9469	K562	MethylMinus	
FOXP3	FL_only	MethylMinus	-1					MethylMinus	
GABPA	DBD	MethylMinus	-0.83492294	MethylMinus	0.0039	0.8888	K562	MethylMinus	TRUE
GABPB1				MethylMinus	0.005	0.8278	K562	MethylMinus	
GATA1				MethylMinus	0	0.9151	K562	MethylMinus	
GATA2				MethylMinus	0	0.76	LNCaP	MethylMinus	
GATA3	FL_only	MethylPlus	1.431590545	MethylMinus	0.025	0.6635	MCF-7	MethylPlus	FALSE
GATA4				Intermediate	0.3606	0.1435	HUES64	Intermediate	
GATA5	FL_only	MethylPlus	0.8700396					MethylPlus	
GBX2	DBD	MethylPlus	1.325					MethylPlus	
GCM1	FL_only	inconclusive	1.2e-07					inconclusive	
GCM1*	DBD	inconclusive	0.19791676					inconclusive	
GCM2	FL_only	inconclusive	0.13725483					inconclusive	
GFI1	DBD	MethylMinus	-0.27368414					MethylMinus	
GFI1B				MethylMinus	0.0406	0.7669	HEK293	MethylMinus	
GLI2	DBD	MethylMinus	-0.07936513					MethylMinus	
GLIS1	DBD	MethylMinus	-0.1027779					MethylMinus	
GLIS2	DBD	MethylMinus	-0.48172768					MethylMinus	
GMEB1	FL_only	MethylMinus	-0.91304348					MethylMinus	
GMEB2	DBD	MethylMinus	-0.9446228	MethylMinus	0	0.9515	HepG2	MethylMinus	TRUE
GRHL1	DBD	MethylPlus	0.15395296					MethylPlus	
GRHL2				Intermediate	0.04	0.5949	MCF-7	Intermediate	
GSX2	DBD	MethylPlus	0.83492828					MethylPlus	
HES1	DBD	MethylMinus	-0.78395058	MethylMinus	0	0.9379	HepG2	MethylMinus	TRUE
HES2	DBD	MethylMinus	-0.53834118	Intermediate	0.0577	0.5744	A549	MethylMinus	FALSE
HES5	DBD	MethylMinus	-0.789772225					MethylMinus	
HES7	DBD	MethylMinus	-0.96713943					MethylMinus	
HEY1	FL_only	MethylMinus	-0.36046505					MethylMinus	
HEY2	DBD	MethylMinus	-0.53225811					MethylMinus	
HHEX				MethylMinus	0.0185	0.9259	HepG2	MethylMinus	
HLF	FL_only	MethylPlus	0.38181805	Intermediate	0.2506	0.3938	HepG2	MethylPlus	FALSE
HMG20A				MethylMinus	0.0107	0.8296	HepG2	MethylMinus	
HNF1A				MethylMinus	0.0055	0.8709	HepG2	MethylMinus	
HNF4A				MethylMinus	0.0083	0.7873	HepG2	MethylMinus	
HNF4G				MethylMinus	0.0104	0.8479	HepG2	MethylMinus	
HOXA1	FL_only	MethylPlus	1.56696411					MethylPlus	
HOXA10	DBD	MethylPlus	0.36558296					MethylPlus	
HOXA11	DBD	MethylPlus	0.6231588					MethylPlus	
HOXA13	DBD	MethylPlus	1.27999969					MethylPlus	
HOXA2	FL_only	MethylPlus	0.76923111					MethylPlus	
HOXA4	DBD	MethylPlus	0.02623892					MethylPlus	
HOXA5	DBD	MethylPlus	-0.02564096					MethylPlus	
HOXA6	DBD	MethylPlus	0.21311474					MethylPlus	
HOXA7	DBD	MethylPlus	0.18113911					MethylPlus	
HOXB1	DBD	MethylPlus	-0.16666656					MethylPlus	
HOXB13	FL_only	MethylPlus	0.91032616	MethylMinus	0.0286	0.693	LNCaP	MethylPlus	FALSE
HOXB2	DBD	MethylPlus	1.0555558					MethylPlus	
HOXB5	DBD	MethylPlus	-0.22424252					MethylPlus	
HOXB6	DBD	MethylPlus	0.02824855					MethylPlus	
HOXB7	DBD	MethylPlus	0.16363632					MethylPlus	
HOXB8	DBD	MethylPlus	1.23809502					MethylPlus	
HOXB9	DBD	MethylPlus	0.53014351					MethylPlus	
HOXC10	DBD	MethylPlus	0.35531139					MethylPlus	
HOXC11	DBD	MethylPlus	0.29514576					MethylPlus	
HOXC12	DBD	MethylPlus	0.6610173					MethylPlus	
HOXC13	DBD	MethylPlus	0.91208801					MethylPlus	
HOXC4	DBD	MethylPlus	-0.04255307					MethylPlus	
HOXC8	FL_only	MethylPlus	1.35367722					MethylPlus	
HOXC9	FL_only	MethylPlus	0.85566986					MethylPlus	
HOXD1	DBD	MethylPlus	-0.35294117					MethylPlus	
HOXD10	DBD	MethylPlus	0.61172188					MethylPlus	
HOXD11	DBD	MethylPlus	1.1937323					MethylPlus	
HOXD12	DBD	MethylPlus	0.37254883					MethylPlus	
HOXD13	DBD	MethylPlus	1.07450081					MethylPlus	
HOXD3	FL_only	MethylPlus	0.3138834					MethylPlus	
HOXD4	DBD	MethylPlus	0.69696976					MethylPlus	
HOXD8	DBD	MethylPlus	0.77966095					MethylPlus	
HOXD9	FL_only	MethylPlus	0.96274483					MethylPlus	
HSF1	FL_only	inconclusive	0.04761899	MethylMinus	0.081	0.6562	GM12878	MethylMinus	FALSE
HSF2	DBD	Multiple	-0.54411758					Multiple	
HSF5	DBD	MethylMinus	1.20000008					MethylMinus	
HSFY1	DBD	MethylMinus	-0.95734268					MethylMinus	
HSFY2	DBD	MethylMinus	-0.91834274					MethylMinus	
IKZF3				MethylMinus	0.024	0.8131	HEK293	MethylMinus	
IRF1				MethylMinus	0.0538	0.6126	K562	MethylMinus	
IRF2	FL_only	MethylPlus	0.3261496	MethylMinus	0.0275	0.7683	K562	MethylPlus	FALSE
IRF3				MethylMinus	0.0036	0.9151	SK-N-SH	MethylMinus	
IRF3*	DBD	inconclusive	-0.16271549					inconclusive	
IRF4	FL_only	MethylPlus	0.097561	MethylMinus	0.0033	0.9614	GM12878	MethylPlus	FALSE
IRF5	DBD	Little effect	-0.09007359	MethylMinus	0	0.9714	GM12878	Little effect	FALSE
IRF6	DBD	MethylPlus	0.18181801					MethylPlus	
IRF7	DBD	MethylMinus	-0.45743244					MethylMinus	
IRF8*	FL_only	inconclusive	-0.100530265					inconclusive	
IRF9	FL_only	MethylPlus	0.10526312					MethylPlus	
IRX1	DBD	MethylPlus	0.42857124					MethylPlus	
IRX3	DBD	MethylPlus	1.81200027					MethylPlus	
IRX5	DBD	MethylPlus	0.84910713					MethylPlus	
ISX	DBD	MethylPlus	0.48809528					MethylPlus	
JDP2	FL_only	inconclusive	0.33333351					inconclusive	
JUN				MethylMinus	0.0199	0.752	HeLa-S3	MethylMinus	
JUNB				MethylMinus	0.0281	0.7381	GM12878	MethylMinus	
JUND				Intermediate	0.0123	0.4315	SK-N-SH	Intermediate	
KLF1				Intermediate	0.2168	0.524	HEK293	Intermediate	
KLF10	DBD	MethylPlus	0.12745094	MethylMinus	0.0278	0.8862	HEK293	MethylPlus	FALSE
KLF11	DBD	MethylPlus	0.19159328					MethylPlus	
KLF12	FL_only	MethylPlus	0.14774966					MethylPlus	
KLF13	DBD	MethylPlus	0.30303038	MethylMinus	8e-04	0.9119	K562	MethylPlus	FALSE
KLF14	DBD	MethylPlus	0.27735556					MethylPlus	
KLF15	DBD	MethylPlus	-0.0133					MethylPlus	
KLF16	DBD	MethylPlus	0.14130402					MethylPlus	
KLF17	DBD	MethylPlus	0.4438504					MethylPlus	
KLF2	DBD	Little effect	-0.41176476					Little effect	
KLF4	DBD	Little effect	-0.22077925	MethylMinus	0.0048	0.9365	MCF-7	Little effect	FALSE
KLF5				MethylMinus	0.0362	0.8966	HUES64	MethylMinus	
KLF6	DBD	MethylPlus	0.25714291					MethylPlus	
KLF9				MethylMinus	0.006	0.9467	MCF-7	MethylMinus	
LBX2	DBD	MethylPlus	0.04444444					MethylPlus	
LEF1	DBD	MethylMinus	-0.40016026					MethylMinus	
LHX4	DBD	MethylPlus	0.06896544					MethylPlus	
LHX5	FL_only	MethylPlus	0.60389603					MethylPlus	
LHX6	FL_only	MethylPlus	1.48443298					MethylPlus	
LHX9	DBD	MethylPlus	1.26666687					MethylPlus	
LIN28B	FL_only	MethylMinus	-0.40859146					MethylMinus	
LMX1A	DBD	MethylPlus	1.72727234					MethylPlus	
LMX1B	FL_only	MethylPlus	0.5789473					MethylPlus	
MAFF	DBD	MethylMinus	0.67836296	Intermediate	0.2581	0.4462	HepG2	MethylMinus	FALSE
MAFG				MethylMinus	0.0553	0.6347	K562	MethylMinus	
MAFK				Intermediate	0.2599	0.4226	HepG2	Intermediate	
MAX	DBD	MethylMinus	-0.24420094	MethylMinus	0.0141	0.7195	K562	MethylMinus	TRUE
MAZ				MethylMinus	0.0011	0.9216	K562	MethylMinus	
MBNL2	FL_only	MethylMinus	-0.38375347					MethylMinus	
MEF2A				MethylMinus	0.0336	0.7905	GM12878	MethylMinus	
MEF2B				MethylMinus	0.0325	0.8036	GM12878	MethylMinus	
MEF2C				MethylMinus	0.0109	0.8606	GM12878	MethylMinus	
MEIS2	DBD	MethylPlus	1.14615372	Intermediate	0.0331	0.594	K562	MethylPlus	FALSE
MEIS3	DBD	MethylPlus	0.6571431					MethylPlus	
MITF				MethylMinus	0	0.9059	K562	MethylMinus	
MLX	DBD	MethylMinus	-0.78075943					MethylMinus	
MNT				Intermediate	0.2644	0.3426	HepG2	Intermediate	
MSX1	DBD	MethylPlus	0.10294115					MethylPlus	
MSX2	DBD	MethylPlus	0.24081623					MethylPlus	
MTA1				MethylMinus	0	0.9976	MCF-7	MethylMinus	
MTF1	DBD	Little effect	-0.00631648					Little effect	
MXI1				MethylMinus	0.0363	0.657	SK-N-SH	MethylMinus	
MYBL2	DBD	MethylMinus	-0.26102942					MethylMinus	
MYCN	DBD	MethylMinus	-0.57406414					MethylMinus	
MYF6	DBD	MethylPlus	0.18181812					MethylPlus	
MYNN				MethylMinus	0.0444	0.7316	K562	MethylMinus	
MYOD1	FL_only	Little effect	0.57160484					Little effect	
MYOG	FL_only	Little effect	0.44989323					Little effect	
MZF1				MethylMinus	0.0873	0.6624	HEK293	MethylMinus	
NANOG	DBD	MethylPlus	-0.3488372	Intermediate	0.1788	0.3758	H9	MethylPlus	FALSE
NCOA1				MethylMinus	0	0.9579	K562	MethylMinus	
NCOA3				MethylMinus	0.0045	0.7174	MCF-7	MethylMinus	
NFAT5	DBD	MethylPlus	0.22361362					MethylPlus	
NFATC1	DBD	MethylPlus	0.51851845					MethylPlus	
NFATC2	DBD	MethylPlus	0.20471037					MethylPlus	
NFATC3	DBD	MethylPlus	0.67849808	MethylMinus	0	0.7647	K562	MethylPlus	FALSE
NFE2				MethylMinus	0.0196	0.6941	K562	MethylMinus	
NFE2L1				Intermediate	0.0645	0.5868	K562	Intermediate	
NFE2L2				MethylMinus	0.0767	0.6134	IMR-90	MethylMinus	
NFIA				MethylMinus	0.0313	0.6664	K562	MethylMinus	
NFIB				Intermediate	0.1223	0.4977	MCF-7	Intermediate	
NFIC				MethylMinus	0.0509	0.6378	K562	MethylMinus	
NFIL3				MethylMinus	0.0644	0.6418	HepG2	MethylMinus	
NFYA				MethylMinus	0.0578	0.8099	HeLa-S3	MethylMinus	
NFYB				MethylMinus	0.0648	0.665	K562	MethylMinus	
NFYC				MethylMinus	0.1198	0.6266	HepG2	MethylMinus	
NHLH1	FL_only	Little effect	-0.15789479					Little effect	
NHLH2	FL_only	Little effect	-0.08867306					Little effect	
NKX2-3	DBD	MethylPlus	0.29166662					MethylPlus	
NKX2-5	FL_only	MethylPlus	0.71906668					MethylPlus	
NKX3-1	DBD	MethylPlus	0.40000034	MethylMinus	0	0.7931	LNCaP	MethylPlus	FALSE
NKX3-2	DBD	MethylPlus	1.15384651					MethylPlus	
NPAS2	DBD	Multiple	-0.46718143					Multiple	
NR1I3	FL_only	MethylPlus	1.10437706					MethylPlus	
NR2C1	DBD	MethylPlus	0.96857155	MethylMinus	0.0311	0.7036	K562	MethylPlus	FALSE
NR2C2				MethylMinus	0	0.9516	HepG2	MethylMinus	
NR2F1	DBD	MethylPlus	-0.02702707	MethylMinus	0.0389	0.7454	HepG2	MethylPlus	FALSE
NR2F2				MethylMinus	0.0149	0.7586	MCF-7	MethylMinus	
NR2F6	DBD	MethylPlus	0.53086399	MethylMinus	0.0246	0.757	HepG2	MethylPlus	FALSE
NR3C1				Intermediate	0.0657	0.5943	LNCaP	Intermediate	
NR3C2	DBD	MethylPlus	0.69230782					MethylPlus	
NR5A2				MethylMinus	0.0119	0.8428	MCF-7	MethylMinus	
NRF1				MethylMinus	0.0036	0.7772	K562	MethylMinus	
ONECUT1	DBD	MethylMinus	-0.39043205					MethylMinus	
ONECUT2	DBD	MethylMinus	-0.5007093					MethylMinus	
ONECUT3	DBD	MethylMinus	-0.13488382					MethylMinus	
OSR1	DBD	Little effect	0.076087					Little effect	
OSR2	DBD	inconclusive	1.33333328	MethylMinus	0.0276	0.7448	HEK293	MethylMinus	FALSE
OVOL1	FL_only	MethylMinus	-0.33333332					MethylMinus	
OVOL2	DBD	MethylMinus	-0.5562904					MethylMinus	
PAX1	DBD	MethylPlus	0.76923073					MethylPlus	
PAX2	DBD	MethylPlus	0.7354599					MethylPlus	
PAX3	FL_only	Ambiguous	0.58444439					Ambiguous	
PAX4	DBD	Little effect	1.42016785					Little effect	
PAX6	DBD	MethylPlus	0.78872063					MethylPlus	
PAX7	DBD	Multiple	0.719139405					Multiple	
PAX8	FL_only	MethylPlus	0.55615379					MethylPlus	
PAX9	DBD	MethylPlus	0.83417686					MethylPlus	
PBX1	DBD	MethylPlus	0.50000023					MethylPlus	
PBX2				Intermediate	0.0317	0.5816	K562	Intermediate	
PBX3				MethylMinus	0.0439	0.7534	GM12878	MethylMinus	
PDX1	DBD	MethylPlus	0.74358963					MethylPlus	
PHF21A				MethylMinus	0	0.9333	K562	MethylMinus	
PKNOX1	DBD	MethylPlus	0.79487206	MethylMinus	0.0288	0.7098	K562	MethylPlus	FALSE
PKNOX2	DBD	MethylPlus	0.53846157					MethylPlus	
POU2F1				Intermediate	0.2475	0.4099	LNCaP	Intermediate	
POU2F2	DBD	MethylPlus	0.60114765	MethylMinus	0.0143	0.8083	GM12878	MethylPlus	FALSE
POU2F3	DBD	MethylPlus	0.39639652					MethylPlus	
POU3F1	DBD	MethylPlus	1.02100209666667					MethylPlus	
POU3F2	DBD	MethylPlus	0.558114483333333					MethylPlus	
POU3F4	DBD	MethylPlus	0.948974786666667					MethylPlus	
POU5F1	FL_only	MethylPlus	0.66392841	Intermediate	0.1043	0.3365	HUES64	MethylPlus	FALSE
PPARD	DBD	MethylPlus	1.65043304					MethylPlus	
PPARG				MethylMinus	0.0072	0.816	HepG2	MethylMinus	
PRDM1				Intermediate	0.3602	0.2887	HEK293	Intermediate	
PRDM4	DBD	MethylPlus	0.62162125	Intermediate	0.1722	0.5257	HEK293	MethylPlus	FALSE
PROX1	DBD	MethylMinus	0.31718899					MethylMinus	
