tf	id	cell	disease	n_cpg_positions	total_cpg_observations	mean_frac_high_meth	mean_frac_low_meth	max_frac_high_at_any_pos	motif_width	methmotif_class
ZKSCAN1	MM1_HSA_K562_ZKSCAN1	K562	tumor	5	779	0.225	0.4263	0.3598	15	Intermediate
ZKSCAN8	MM1_HSA_K562_ZKSCAN8	K562	tumor	4	191	0.0825	0.4799	0.1538	15	Intermediate
ZMYM3	MM1_HSA_K562_ZMYM3	K562	tumor	17	1335	0.0784	0.4419	0.2623	23	Intermediate
ZNF10	MM1_HSA_HEK293_ZNF10	HEK293	normal	9	777	0.2305	0.4875	0.5	15	Intermediate
ZNF112	MM1_HSA_HEK293_ZNF112	HEK293	normal	2	30	0.5694	0.0278	0.5833	15	MethylPlus
ZNF121	MM1_HSA_HEK293_ZNF121	HEK293	normal	10	1352	0.5028	0.2644	0.6783	16	MethylPlus
ZNF133	MM1_HSA_HEK293_ZNF133	HEK293	normal	6	518	0.5866	0.1039	0.7679	21	MethylPlus
ZNF140	MM1_HSA_HEK293_ZNF140	HEK293	normal	1	14	0.7143	0.1429	0.7143	7	MethylPlus
ZNF143	MM1_HSA_MCF-7_ZNF143	MCF-7	tumor	10	3809	0.072	0.6816	0.125	15	MethylMinus
ZNF146	MM1_HSA_HEK293_ZNF146	HEK293	normal	8	1062	0.3426	0.2297	0.5938	15	Intermediate
ZNF148	MM1_HSA_K562_ZNF148	K562	tumor	15	1336	0.0259	0.69	0.1538	21	MethylMinus
ZNF16	MM1_HSA_HEK293_ZNF16	HEK293	normal	4	106	0.4126	0.2195	0.5652	15	MethylPlus
ZNF18	MM1_HSA_HEK293_ZNF18	HEK293	normal	4	711	0.3053	0.4033	0.6074	11	Intermediate
ZNF184	MM1_HSA_K562_ZNF184	K562	tumor	7	440	0.1782	0.3831	0.3636	19	Intermediate
ZNF189	MM1_HSA_HEK293_ZNF189	HEK293	normal	8	1394	0.1984	0.5386	0.3636	13	Intermediate
ZNF2	MM1_HSA_HEK293_ZNF2	HEK293	normal	18	4666	0.0168	0.9151	0.0526	20	MethylMinus
ZNF211	MM1_HSA_HEK293_ZNF211	HEK293	normal	1	20	0.4	0.2	0.4	15	Intermediate
ZNF214	MM1_HSA_HEK293_ZNF214	HEK293	normal	2	42	0.3282	0.2659	0.48	19	Intermediate
ZNF217	MM1_HSA_MCF-7_ZNF217	MCF-7	tumor	3	96	0	0.9942	0	21	MethylMinus
ZNF223	MM1_HSA_HEK293_ZNF223	HEK293	normal	9	731	0.1292	0.6409	0.22	15	MethylMinus
ZNF23	MM1_HSA_HEK293_ZNF23	HEK293	normal	1	43	0.5581	0.093	0.5581	19	MethylPlus
ZNF239	MM1_HSA_HEK293_ZNF239	HEK293	normal	3	87	0.6596	0.1847	0.7333	21	MethylPlus
ZNF24	MM1_HSA_GM12878_ZNF24	GM12878	normal	18	2674	0.126	0.3967	0.2	21	Intermediate
ZNF26	MM1_HSA_HEK293_ZNF26	HEK293	normal	2	72	0.5402	0.0893	0.5625	21	MethylPlus
ZNF263	MM1_HSA_HEK293_ZNF263	HEK293	normal	10	7277	0.1858	0.5732	0.2525	15	Intermediate
ZNF274	MM1_HSA_HCT116_ZNF274	HCT116	tumor	22	17463	0.1995	0.1067	0.4	22	Intermediate
ZNF280C	MM1_HSA_HEK293_ZNF280C	HEK293	normal	3	83	0.5001	0.2689	0.6522	21	MethylPlus
ZNF280D	MM1_HSA_HEK293_ZNF280D	HEK293	normal	2	109	0.5799	0.2547	0.6598	15	MethylPlus
ZNF300	MM1_HSA_HEK293_ZNF300	HEK293	normal	2	23	0.0871	0.4773	0.0909	15	Intermediate
ZNF302	MM1_HSA_HEK293_ZNF302	HEK293	normal	1	15	0.6	0.2	0.6	17	MethylPlus
ZNF316	MM1_HSA_K562_ZNF316	K562	tumor	11	1376	0.0757	0.5624	0.2333	15	Intermediate
ZNF341	MM1_HSA_HEK293_ZNF341	HEK293	normal	4	1606	0.1316	0.5898	0.1716	11	Intermediate
ZNF350	MM1_HSA_HEK293_ZNF350	HEK293	normal	2	27	0.2225	0.294	0.2308	15	Intermediate
ZNF362	MM1_HSA_HEK293_ZNF362	HEK293	normal	20	7656	0.3761	0.3816	0.6059	21	Intermediate
ZNF37A	MM1_HSA_HEK293_ZNF37A	HEK293	normal	3	43	0.0708	0.6736	0.0833	15	MethylMinus
ZNF407	MM1_HSA_K562_ZNF407	K562	tumor	5	337	0.0022	0.8911	0.0108	15	MethylMinus
ZNF410	MM1_HSA_K562_ZNF410	K562	tumor	4	65	0.0556	0.5298	0.1667	19	Intermediate
ZNF423	MM1_HSA_HEK293_ZNF423	HEK293	normal	4	504	0.0156	0.8208	0.0328	11	MethylMinus
ZNF444	MM1_HSA_MCF-7_ZNF444	MCF-7	tumor	8	2727	4e-04	0.9664	0.0031	15	MethylMinus
ZNF449	MM1_HSA_HEK293_ZNF449	HEK293	normal	6	1881	0.1531	0.5603	0.3567	11	Intermediate
ZNF491	MM1_HSA_HEK293_ZNF491	HEK293	normal	2	40	0.05	0.55	0.05	15	Intermediate
ZNF507	MM1_HSA_K562_ZNF507	K562	tumor	2	107	0.0759	0.4965	0.0851	13	Intermediate
ZNF513	MM1_HSA_HEK293_ZNF513	HEK293	normal	14	4177	0.4369	0.2659	0.5298	21	MethylPlus
ZNF529	MM1_HSA_HEK293_ZNF529	HEK293	normal	2	29	0.5673	0.0769	0.75	15	MethylPlus
ZNF530	MM1_HSA_HEK293_ZNF530	HEK293	normal	5	224	0.1287	0.5929	0.3333	16	Intermediate
ZNF544	MM1_HSA_HEK293_ZNF544	HEK293	normal	2	34	0.1771	0.441	0.1875	21	Intermediate
ZNF547	MM1_HSA_HEK293_ZNF547	HEK293	normal	1	16	0.5	0.1875	0.5	8	MethylPlus
ZNF548	MM1_HSA_HEK293_ZNF548	HEK293	normal	6	208	0.5375	0.2392	0.7524	15	MethylPlus
ZNF549	MM1_HSA_HEK293_ZNF549	HEK293	normal	5	224	0.2245	0.5116	0.4583	12	Intermediate
ZNF558	MM1_HSA_HEK293_ZNF558	HEK293	normal	5	90	0.5826	0.0583	0.6667	21	MethylPlus
ZNF574	MM1_HSA_MCF-7_ZNF574	MCF-7	tumor	4	310	0.0063	0.9557	0.0192	14	MethylMinus
ZNF580	MM1_HSA_HEK293_ZNF580	HEK293	normal	5	332	0.4749	0.2746	0.6667	15	MethylPlus
ZNF585B	MM1_HSA_HEK293_ZNF585B	HEK293	normal	5	318	0.4187	0.2955	0.7917	15	MethylPlus
ZNF592	MM1_HSA_K562_ZNF592	K562	tumor	10	387	0.091	0.449	0.1667	29	Intermediate
ZNF596	MM1_HSA_HEK293_ZNF596	HEK293	normal	21	3100	0.4631	0.1699	0.5687	21	MethylPlus
ZNF597	MM1_HSA_GM12878_ZNF597	GM12878	normal	2	141	0	0.8459	0	11	MethylMinus
ZNF610	MM1_HSA_HEK293_ZNF610	HEK293	normal	9	465	0.0745	0.7689	0.2625	21	MethylMinus
ZNF623	MM1_HSA_HEK293_ZNF623	HEK293	normal	13	1920	0.5642	0.1494	0.7414	21	MethylPlus
ZNF624	MM1_HSA_HEK293_ZNF624	HEK293	normal	1	24	0.0833	0.5417	0.0833	21	Intermediate
ZNF629	MM1_HSA_HEK293_ZNF629	HEK293	normal	3	2455	0.043	0.6782	0.0569	11	MethylMinus
ZNF639	MM1_HSA_K562_ZNF639	K562	tumor	1	173	0	0.9191	0	8	MethylMinus
ZNF644	MM1_HSA_HEK293T_ZNF644	HEK293T	normal	5	189	0.6522	0.0196	0.8095	21	MethylPlus
ZNF652	MM1_HSA_HepG2_ZNF652	HepG2	tumor	5	417	0.2426	0.4278	0.38	11	Intermediate
ZNF654	MM1_HSA_HEK293_ZNF654	HEK293	normal	15	12795	0.0145	0.824	0.0625	19	MethylMinus
ZNF664	MM1_HSA_HEK293_ZNF664	HEK293	normal	3	92	0.4535	0.2177	0.6111	15	MethylPlus
ZNF677	MM1_HSA_HEK293_ZNF677	HEK293	normal	11	361	0.3588	0.2795	0.5	25	Intermediate
ZNF680	MM1_HSA_HEK293_ZNF680	HEK293	normal	5	166	0.3533	0.3677	0.4478	15	Intermediate
ZNF692	MM1_HSA_HEK293_ZNF692	HEK293	normal	5	2321	0.1382	0.6285	0.1872	11	MethylMinus
ZNF701	MM1_HSA_HEK293_ZNF701	HEK293	normal	7	109	0.091	0.6085	0.2667	15	MethylMinus
ZNF707	MM1_HSA_HEK293_ZNF707	HEK293	normal	3	84	0.3931	0.2751	0.56	15	Intermediate
ZNF740	MM1_HSA_K562_ZNF740	K562	tumor	20	949	0.0558	0.6727	0.0943	21	MethylMinus
ZNF75A	MM1_HSA_K562_ZNF75A	K562	tumor	7	1306	3e-04	0.9325	0.0024	14	MethylMinus
ZNF76	MM1_HSA_HEK293_ZNF76	HEK293	normal	21	3598	0.0047	0.9547	0.0385	26	MethylMinus
ZNF768	MM1_HSA_HEK293_ZNF768	HEK293	normal	4	117	0.4732	0.2727	0.5217	15	MethylPlus
ZNF792	MM1_HSA_HEK293_ZNF792	HEK293	normal	3	146	0.242	0.4692	0.2857	21	Intermediate
ZNF83	MM1_HSA_K562_ZNF83	K562	tumor	4	57	0.0436	0.7398	0.0909	20	MethylMinus
ZNF830	MM1_HSA_HEK293_ZNF830	HEK293	normal	4	99	0.081	0.5665	0.087	15	Intermediate
ZSCAN16	MM1_HSA_HEK293_ZSCAN16	HEK293	normal	5	237	0.1199	0.5719	0.2727	15	Intermediate
ZSCAN2	MM1_HSA_HepG2_ZSCAN2	HepG2	tumor	2	36	0	0.9231	0	11	MethylMinus
ZSCAN29	MM1_HSA_K562_ZSCAN29	K562	tumor	5	312	0.0048	0.7635	0.0238	13	MethylMinus
