gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class
LOC_00000001	20	0.636939771512069	0.519959842033767	-0.116979929478302	0.803153654985328	0.842997446589358	0.026641845703125	2.41115677268088	0.346426925666499	NS
LOC_00000004	177	0.564927168150141	0.545311828716007	-0.0196153394341341	0.839450318375282	0.840723523770913	0.185233058813014	3.82406636374186	0.647520880965795	NS
LOC_00000007	84	0.250416140375498	0.29513753052853	0.0447213901530313	0.747201312933389	0.747060086083998	0.034475513109573	8.01905936554076	0.376953512543827	NS
LOC_00000008	426	0.308428877755157	0.298273166337593	-0.0101557114175637	0.902213765112076	0.908633509898619	0.410176581347027	7.64431146437548	0.816925395957913	NS
LOC_00000009	1123	0.480777140470619	0.481361386589837	0.000584246119217724	0.858952940971027	0.857547349736583	0.821162389942463	11.5242180410402	0.973482153580057	NS
LOC_00000011	485	0.117081845746262	0.117130153407696	0.0000483076614344165	0.361637945488063	0.359216661603144	0.743789363898829	9.000845627436	0.95120678283088	NS
LOC_00000012	574	0.357223294836603	0.369595688371104	0.0123723935345007	0.744193777931782	0.741631120906233	0.109316059211254	6.44849701271716	0.551252145522593	NS
LOC_00000013	200	0.0171954472198136	0.0150203129979488	-0.00217513422186477	0.0028744589072367	0.00260548234445293	0.952069577647556	0.932623939810295	1	NS
LOC_00000014	1639	0.338318454975157	0.33417031039905	-0.00414814457610692	0.911605965030672	0.914695740091181	0.399663449846962	7.43901779360725	0.810977636402038	NS
LOC_00000016	101	0.192679995121681	0.226525736637198	0.0338457415155171	0.745032456776236	0.739466388032337	0.0838230416524079	7.17237879713662	0.506683915361859	NS
LOC_00000017	22	0.652216690305545	0.536323049174567	-0.115893641130978	0.799895924958021	0.816333963086355	0.120677471160889	2.00700738473054	0.569179161835454	NS
LOC_00000018	566	0.344273269981884	0.341672980510333	-0.00260028947155051	0.881879433549946	0.88186220291107	0.899727190771752	10.5734072470737	0.991537041796624	NS
LOC_00000019	508	0.45512006445573	0.435442829583668	-0.0196772348720622	0.84731725251083	0.859185000556801	0.11862682593081	7.82211314497053	0.565600198277451	NS
LOC_00000020	2	0.00000000346619761090596	0.143198480291077	0.143198476824879	0	0.025		0.932623939810295		
LOC_00000021	448	0.0211368162357494	0.0187134745737766	-0.00242334166197275	0.00353014558684945	0.00313645707507919	0.933964299888206	3.42512344679262	0.999430765402442	NS
LOC_00000022	153	0.025624758606398	0.0357830517533061	0.0101582931469081	0.0054227335685884	0.00829065632987202	0.234194304879215	0.932623939810295	0.694208328659186	NS
LOC_00000023	285	0.367970748890859	0.355352503533691	-0.0126182453571679	0.908880493500936	0.913812633106488	0.508671501937272	8.45125536760715	0.865091489923237	NS
LOC_00000024	71	0.45242551771951	0.465708828502752	0.013283310783242	0.496995945575656	0.488703379550172	0.575708526191225	5.36348123377838	0.894010719287715	NS
LOC_00000025	478	0.0300635520550963	0.0243590611747719	-0.00570449088032439	0.00564500645971987	0.00433547202042831	0.409068948168226	4.13800093087471	0.816636372667882	NS
LOC_00000026	747	0.0352778863669782	0.0256599511419816	-0.00961793522499667	0.00703893372691835	0.00526783170322442	0.0847860801025684	7.59582960070428	0.509079637857729	NS
LOC_00000027	5	0.0292188527969854	0.00000000346619761090596	-0.0292188493307877	0.00416666666666667	0	1	2.99064996162965	1	NS
LOC_00000028	20	0.0562842970894387	0.0227528975502092	-0.0335313995392295	0.00927709899749373	0.00375	0.29450739368011	7.79737331321466	0.746659683744694	NS
LOC_00000029	5487	0.0557488122867907	0.0519520004198509	-0.00379681186693979	0.0520182842462549	0.0528631245520874	0.0510215209280694	8.96120372717472	0.434237898809713	NS
LOC_00000030	481	0.192337029706927	0.192593039098003	0.000256009391076513	0.653371863823558	0.653583066411405	0.97062381541666	7.19451916555697	1	NS
LOC_00000031	132	0.0108519617953536	0.0278246494022203	0.0169726876068667	0.00203627180899908	0.00492640251162978	0.129226650800495	5.26024357468087	0.579620742256145	NS
LOC_00000032	223	0.022199854856482	0.0101607129628274	-0.0120391418936546	0.00377566428923034	0.00161811063288246	0.0911970800343521	8.19716331287814	0.52328287142789	NS
LOC_00000033	235	0.364599458135524	0.383727724887247	0.019128266751723	0.808113973764235	0.801826194696727	0.247318891456312	8.61763462653903	0.70729719604641	NS
LOC_00000034	317	0.27692100417909	0.270635172959971	-0.0062858312191185	0.805399235781912	0.807098826433154	0.613373632452061	10.7474868352884	0.908594466319169	NS
LOC_00000036	355	0.314305719329319	0.311459352345145	-0.00284636698417458	0.719234839354767	0.723181963684968	0.684765842364034	8.26830689184719	0.934033889156403	NS
LOC_00000037	315	0.251934788709443	0.240420491713502	-0.0115142969959402	0.872623992260149	0.879304569228225	0.461526092347179	5.12319767280493	0.842826512679812	NS
LOC_00000039	53	0.371443889818296	0.362772486191055	-0.00867140362724123	0.894153894167825	0.905093092690463	0.557274891328628	6.57425363779961	0.885280965353667	NS
LOC_00000040	331	0.441834096953773	0.412496231603943	-0.0293378653498304	0.810709640173317	0.826145320900304	0.045259079482733	5.63971821963183	0.416197954903499	NS
LOC_00000041	571	0.275888070486513	0.253837092653801	-0.0220509778327124	0.542759625541442	0.551174969239582	0.00482894995599506	9.33855990109212	0.175689292481323	NS
LOC_00000042	4	0.372445064241606	0.515836127417036	0.14339106317543	0.908649806076277	0.879886085858946		6.84699657900801		
LOC_00000043	402	0.31369981835263	0.306371106527495	-0.00732871182513467	0.901618036120939	0.906221472669536	0.499447928871192	7.74836360051028	0.86094541265842	NS
LOC_00000044	1184	0.0714212805148384	0.0687876132298149	-0.00263366728502351	0.107279084742234	0.108801701369803	0.832208841156656	6.73876052763446	0.97465033547422	NS
LOC_00000045	1717	0.0198010807216773	0.0180690126170352	-0.00173206810464214	0.00351956144460153	0.00313401525920618	0.90121255812865	7.88663052073554	0.991711402800584	NS
LOC_00000046	429	0.0477956462316895	0.0451276223855488	-0.00266802384614074	0.0385850785902723	0.0373566114051927	0.963651907653552	6.91073058584279	1	NS
LOC_00000047	93	0.322601606163541	0.323985456443144	0.00138385027960238	0.844529185850604	0.841626393184128	0.974236755130172	7.86072611298591	1	NS
LOC_00000048	287	0.366075886874273	0.347685971592436	-0.0183899152818367	0.862284215732645	0.869417228885391	0.149450030115624	7.94510652228251	0.60668754811609	NS
LOC_00000050	388	0.272465673971817	0.262797686807227	-0.00966798716459006	0.838289683769994	0.840782686349102	0.538511648018098	9.91607385325625	0.878103518305033	NS
LOC_00000051	450	0.337139852676039	0.337607322395106	0.000467469719066845	0.884693300623995	0.887416468599109	0.947746591140873	9.0003705969044	1	NS
LOC_00000052	1	0.696212260125146	0.534498256548016	-0.16171400357713	0.8125	0.878205128205128		2.41610991859773		
LOC_00000054	192	0.238116141971104	0.242162800519471	0.00404665854836713	0.857258492214151	0.856411369215798	0.756549830257416	9.87159050800186	0.956061866469092	NS
LOC_00000055	360	0.0324771286102681	0.0245899809703306	-0.00788714763993752	0.0181359103066475	0.012319327042437	0.27223061997563	7.68245815791059	0.731812254589412	NS
LOC_00000056	111	0.0204067866561371	0.0108612373639821	-0.00954554929215501	0.0032626748824571	0.00182923307923308	0.292993305709053	1.67468198803516	0.746325946000091	NS
LOC_00000057	1109	0.0891072512874105	0.0808967624195111	-0.00821048886789944	0.118934912972057	0.118165455625266	0.082507419715176	7.00130905611495	0.504050944579089	NS
LOC_00000058	455	0.563257005155594	0.553320147598698	-0.00993685755689554	0.798295532124447	0.805194014292932	0.286395858763866	5.3596486637824	0.740641619146593	NS
LOC_00000059	121	0.0321084990011127	0.0165830576423841	-0.0155254413587286	0.00547380681875673	0.00296240146446758	0.277409225537496	3.78425361378499	0.735374990163251	NS
LOC_00000061	375	0.137776839248472	0.132420958334413	-0.00535588091405953	0.443943046485239	0.450014935823055	0.763162725983378	14.5003158201151	0.957147447877057	NS
LOC_00000063	137	0.54913281477765	0.550049790278667	0.000916975501017301	0.618915802414035	0.622478512988697	0.729296620667046	6.20083926713901	0.946227614440416	NS
LOC_00000064	1814	0.018365979895262	0.0175744901164216	-0.000791489778840403	0.00328633733506053	0.00311426419824655	0.757675449720097	4.66319541862565	0.956493265607082	NS
LOC_00000065	262	0.258220753252861	0.248748153441661	-0.00947259981119943	0.853838071250035	0.85605328289483	0.562074541414244	7.4302167085247	0.887477428303646	NS
LOC_00000066	149	0.0206682148336545	0.00861464263414675	-0.0120535721995077	0.00340912350140538	0.00140094632985838	0.116217898893451	0.932623939810295	0.562294218391649	NS
LOC_00000067	149	0.70965956255171	0.713820624744609	0.00416106219289843	0.654385015785666	0.673509247444231	0.931748260682734	10.0475509679791	0.999110402286888	NS
LOC_00000068	171	0.0216539728548801	0.0167625728316736	-0.00489140002320657	0.00365464993242118	0.00261737765917687	0.63076096331452	4.83622496424159	0.915434197253799	NS
LOC_00000069	2234	0.0223306625530898	0.0210783524798841	-0.00125231007320576	0.00468522474005827	0.00387277880701445	0.923504625837323	8.04942779909211	0.997464992267168	NS
LOC_00000070	1219	0.0197720734932546	0.0172045580136568	-0.0025675154795978	0.00327629335946824	0.00274042133084271	0.824657183758357	1.1327780593844	0.973548201694195	NS
LOC_00000071	1057	0.0234926337048955	0.0196681860579029	-0.00382444764699262	0.00517651048192005	0.00501748716544789	0.269773940357492	9.24197173518941	0.72986926644423	NS
LOC_00000072	10	0.00000000346619761090596	0.00000000346619761090596	0	0	0		8.45430809425654		NS
