gene_id	n_cpgs	mean_ctrl_entropy	mean_ampu_entropy	mean_delta_entropy	mean_ctrl_beta	mean_ampu_beta	p_wilcox	expression	padj	entropy_class	n_exons	gene_class
LOC_00015867	285	0.40110431272163	0.30572445842828	-0.0953798542933497	0.821958416619302	0.859815784297673	0.0000267441796627777	9.67551980233194	0.00978053094529615	Entropy_Down	4	3+ exon
LOC_00011179	100	0.450671405729851	0.360392244680131	-0.0902791610497197	0.807630497299999	0.828612286103221	0.0000433933544778554	6.93731529565037	0.0133393687221709	Entropy_Down	9	3+ exon
LOC_00016436	123	0.526005042691881	0.44177026486126	-0.0842347778306209	0.757287566247342	0.785115033847991	0.00000686576315519327	3.84783095491535	0.00441302128135771	Entropy_Down	9	3+ exon
LOC_00008081	157	0.509762611187549	0.425960711888969	-0.0838018992985805	0.781053720453905	0.819592403341022	0.0000132847077590922	3.80238636927154	0.00687273015312448	Entropy_Down	12	3+ exon
LOC_00016642	193	0.387058831844991	0.308620562552889	-0.0784382692921019	0.810168520896484	0.839095725269973	0.0000278287248092899	4.66949791245273	0.00986324561960687	Entropy_Down	20	3+ exon
LOC_00017901	213	0.32418504259522	0.246298174479156	-0.0778868681160635	0.271448891306217	0.274595165807581	0.0000106428130462198	10.7846912016423	0.00578832583393254	Entropy_Down	4	3+ exon
LOC_00013872	139	0.278029213321837	0.200534836745221	-0.0774943765766159	0.358789036432006	0.362524018066294	0.0000015434130469059	6.35811951544449	0.00155892067323434	Entropy_Down	8	3+ exon
LOC_00008122	115	0.352425206217668	0.277675811168032	-0.0747493950496359	0.601494175909425	0.615651775647959	0.000212929096045981	8.63821719417988	0.0322602789730807	Entropy_Down	10	3+ exon
LOC_00002495	110	0.442879388740865	0.368723440599374	-0.074155948141491	0.78609495719187	0.809384767939316	0.000333663662828819	4.46318064722094	0.042892969407649	Entropy_Down	10	3+ exon
LOC_00012045	159	0.414367523651298	0.345882652227168	-0.0684848714241302	0.89528094251123	0.911612265189037	0.0000177511817933598	4.78698946810657	0.00794838774499674	Entropy_Down	6	3+ exon
LOC_00016421	81	0.581935215909444	0.514687524913662	-0.0672476909957813	0.610655583891796	0.640601740162671	0.000349313945732133	3.49606535910924	0.0434705515751754	Entropy_Down	5	3+ exon
XLOC_014680U_lncRNA	139	0.361315647544954	0.296062724822068	-0.0652529227228863	0.823923189837822	0.836965520263303	0.000364513273816449	5.58756367074329	0.0446918557856688	Entropy_Down	2	2-exon
LOC_00016064	148	0.421470632665919	0.357365289408616	-0.0641053432573039	0.821449161493173	0.840168006321639	0.000252729130997915	3.32656132937517	0.0362205243080863	Entropy_Down	4	3+ exon
LOC_00013322	201	0.562786728481141	0.499879524099383	-0.0629072043817575	0.65697076725408	0.6508149897549	0.000350176722139587	5.82474632046851	0.0434705515751754	Entropy_Down	37	3+ exon
LOC_00013186	263	0.605487596423362	0.542869360072024	-0.0626182363513382	0.820030744534986	0.845082299200037	0.0000248862172805154	2.58702842338822	0.00959748281340023	Entropy_Down	155	3+ exon
LOC_00012702	198	0.398487650979131	0.338427920631136	-0.0600597303479951	0.812837909433919	0.829306600581649	0.0000988647092092014	2.99901000648494	0.020081556657824	Entropy_Down	4	3+ exon
LOC_00018639	328	0.411131791898942	0.353020526061012	-0.0581112658379308	0.861316996935389	0.879183621565657	0.000000919009569720978	5.6461408465631	0.00122711132133375	Entropy_Down	10	3+ exon
LOC_00017083	115	0.614648503835768	0.556551667402915	-0.0580968364328529	0.739975289439526	0.768392617148666	0.000287456616581834	4.18057783857222	0.0401134361468242	Entropy_Down	10	3+ exon
LOC_00018210	138	0.229818889367132	0.172324823020594	-0.0574940663465386	0.14278801480995	0.131036820511947	0.000277901676282868	9.05955825067027	0.039036903679708	Entropy_Down	1	Intronless
LOC_00023368	229	0.624459697163446	0.568321776634879	-0.0561379205285663	0.749510736580667	0.775759248592172	0.000173054794507735	4.08105462026783	0.0289028759551463	Entropy_Down	5	3+ exon
LOC_00002748	319	0.422505855962405	0.367183335965541	-0.0553225199968642	0.813009001151011	0.832409211737162	0.0000222774859786923	6.17151584851887	0.00908707221334698	Entropy_Down	50	3+ exon
LOC_00013065	273	0.328527557360576	0.274605888437635	-0.0539216689229417	0.8879103416005	0.89960582014159	0.000345699634728344	10.7037602315925	0.0434705515751754	Entropy_Down	11	3+ exon
LOC_00018848	248	0.394945286865375	0.341024893905445	-0.0539203929599299	0.843312367002517	0.860755508719261	0.000323846405481752	7.03340885891622	0.0424480268102882	Entropy_Down	12	3+ exon
LOC_00018081	212	0.371719955435647	0.317814838370589	-0.0539051170650577	0.44254912580555	0.465150968121435	0.000120141051488338	8.32349673980044	0.023166471301083	Entropy_Down	5	3+ exon
LOC_00014242	308	0.423305126973001	0.369684069208801	-0.0536210577641996	0.836010938184291	0.85462732039958	0.000073651979877196	7.38742913883032	0.017950516328704	Entropy_Down	61	3+ exon
LOC_00008319	322	0.211730475266768	0.158638130103734	-0.0530923451630345	0.337128653751281	0.341453488090548	0.0000181178568309959	9.30073891276697	0.00794838774499674	Entropy_Down	44	3+ exon
LOC_00016551	195	0.315962436429213	0.262950013282055	-0.0530124231471579	0.778370079885845	0.790929157798384	0.000418048424196506	6.24368897200495	0.0491091888677251	Entropy_Down	12	3+ exon
LOC_00007277	462	0.357101583120933	0.305601174309262	-0.051500408811671	0.489772419473194	0.48339889898217	0.0000306694817716051	6.32566247389814	0.0103258790136114	Entropy_Down	23	3+ exon
LOC_00020137	370	0.311628950518887	0.261285759843096	-0.0503431906757913	0.789207924051829	0.800218658587408	0.000206428364398877	4.16499603817754	0.0317649917882291	Entropy_Down	1	Intronless
LOC_00023662	497	0.363218897670448	0.312970729270533	-0.050248168399915	0.806628243903879	0.812668907300391	0.0000205465680599395	6.38126787800089	0.00871626510238755	Entropy_Down	13	3+ exon
LOC_00007255	258	0.491739223301425	0.441538014094244	-0.0502012092071807	0.824205137124334	0.845285874006053	0.000392468644868138	10.2593662792582	0.0467528178630016	Entropy_Down	61	3+ exon
LOC_00018482	448	0.45022444381922	0.402685308926923	-0.0475391348922977	0.819237547329152	0.835028425900531	0.000000925924325736696	9.67016705288518	0.00122711132133375	Entropy_Down	15	3+ exon
