motif_id	motif_name	tf_class	methyl_sens	odds_ratio	pvalue	n_concord	n_bg	fdr
MA1548.2	PLAGL2	More than 3 adjacent zinc fingers	Unknown	1.10613705224443	0.272651274490527	73	14220	0.91564882563275
MA1558.2	SNAI1	More than 3 adjacent zinc fingers	Unknown	1.10610739383528	0.257592625964269	90	17532	0.91564882563275
MA0663.1	MLX	bHLH-ZIP	MethylMinus	1.10605737247951	0.298784125319157	52	10130	0.91564882563275
MA0836.3	CEBPD	CEBP-related	MethylMinus	1.10583852107849	0.262187824190221	85	16562	0.91564882563275
MA2168.1	hif-1	PAS domain factors	Unknown	1.10582173427772	0.297728674593489	53	10327	0.91564882563275
MA2309.1	ewg	Jun-related	Unknown	1.10559969346769	0.309345497149144	46	8965	0.91564882563275
MA0609.3	CREM	CREB-related factors	Unknown	1.10520930356163	0.277619297632828	70	13647	0.91564882563275
MA1117.2	RELB	NF-kappaB-related factors	LittleEffect	1.10518257261854	0.268787222514729	79	15402	0.91564882563275
MA0137.4	STAT1	STAT factors	Unknown	1.10435867410712	0.274237671054512	75	14633	0.91564882563275
MA2196.1	bigmax	bHLH-ZIP	MethylMinus	1.10349960220816	0.285401643993697	66	12887	0.91564882563275
MA1566.3	TBX3	TBX2-related factors	Unknown	1.10319376909139	0.274697927529367	77	15039	0.91564882563275
MA1713.2	ZNF610	More than 3 adjacent zinc fingers	Unknown	1.1021938384318	0.270574268640722	84	16421	0.91564882563275
MA1648.2	TCF12	E2A	Unknown	1.10096890764426	0.269917723343747	88	17222	0.91564882563275
MA0736.1	GLIS2	More than 3 adjacent zinc fingers	Unknown	1.10087226132361	0.277650935431138	79	15462	0.91564882563275
MA1630.3	ZNF281	More than 3 adjacent zinc fingers	Unknown	1.10070090860614	0.228137047876219	177	34649	0.91564882563275
MA2328.1	ZBED4	BED zinc finger factors	Unknown	1.09973391872123	0.28091872393011	78	15282	0.91564882563275
MA0085.2	Su(H)	""	Unknown	1.09924258806673	0.267732714782398	96	18817	0.91564882563275
MA2235.1	FoxL1	FOX	MethylMinus	1.09923760303351	0.272830435943958	89	17445	0.91564882563275
MA0906.2	HOXC12	HOX	Unknown	1.09901100384382	0.302608559683216	59	11567	0.91564882563275
MA0253.1	vnd	NK	Unknown	1.09895253302762	0.279911969830373	81	15881	0.91564882563275
MA0603.2	Arntl	PAS domain factors	Unknown	1.09893456503018	0.299100136269604	62	12156	0.91564882563275
MA1919.2	Tbox-a	TBX1-related factors	Unknown	1.09818903525129	0.290789538219419	71	13930	0.91564882563275
MA2140.1	lin-31	FOX	MethylMinus	1.09746848193835	0.278949146177335	86	16884	0.91564882563275
MA0871.3	TFEC	bHLH-ZIP	MethylMinus	1.09744880668265	0.287516120569588	76	14921	0.91564882563275
MA2242.1	Hnf4	RXR-related receptors (NR2)	Unknown	1.09646037488543	0.274491529417608	95	18668	0.91564882563275
MA0801.1	MGA	TBX6-related factors	Unknown	1.09644428471644	0.300677887969554	65	12773	0.91564882563275
MA1150.2	RORB	Thyroid hormone receptor-related factors (NR1)	Unknown	1.09592881528182	0.283050927859306	85	16711	0.91564882563275
MA0652.2	IRF8	Interferon-regulatory factors	Unknown	1.09578963851259	0.270133161908346	104	20449	0.91564882563275
MA2149.1	odr-7	RXR-related receptors (NR2)	Unknown	1.09571280977266	0.259456948925713	124	24383	0.91564882563275
MA0101.1	REL	NF-kappaB-related factors	LittleEffect	1.0945365226035	0.285280033957368	86	16929	0.91564882563275
MA1516.2	KLF3	Three-zinc finger Kruppel-related	Unknown	1.09418343472842	0.282316144805447	91	17919	0.91564882563275
MA0535.1	Mad	SMAD factors	Unknown	1.09386909682051	0.280212495911697	95	18712	0.91564882563275
MA0492.2	JUND	Jun-related	MethylMinus	1.09343600202978	0.286914110574638	87	17143	0.91564882563275
MA1531.2	NR1D1	Thyroid hormone receptor-related factors (NR1)	Unknown	1.09291560753632	0.294481056676882	79	15574	0.91564882563275
MA0605.3	ATF3	Fos-related	MethylMinus	1.09095175364574	0.314131931840577	63	12442	0.91564882563275
MA2324.1	BCL11A	Factors with multiple dispersed zinc fingers	Unknown	1.09071640247367	0.2710739061883	124	24494	0.91564882563275
MA1557.1	SMAD5	SMAD factors	Unknown	1.09054954580716	0.316071435228793	62	12249	0.91564882563275
MA1528.2	NFIX	Nuclear factor 1	Unknown	1.08967354441846	0.298272988714621	83	16411	0.91564882563275
MA2261.1	phol	More than 3 adjacent zinc fingers	Unknown	1.08962764529732	0.278064541828988	115	22739	0.91564882563275
MA2254.1	lz	Runt-related factors	Unknown	1.08935650024676	0.29306019201636	91	17998	0.91564882563275
MA2238.1	GATAe	C4-GATA-related	Unknown	1.08920520856486	0.324657743706403	57	11275	0.91564882563275
MA0772.2	IRF7	Interferon-regulatory factors	Unknown	1.08901510306775	0.27028951999095	135	26708	0.91564882563275
MA0860.1	Rarg	Thyroid hormone receptor-related factors (NR1)	Unknown	1.08896459551086	0.291898887752165	94	18598	0.91564882563275
MA0607.2	BHLHA15	Tal-related	Unknown	1.08895663867357	0.328925004833066	54	10684	0.91564882563275
MA1987.2	ZNF701	More than 3 adjacent zinc fingers	Unknown	1.08843167374052	0.26062164523578	167	33058	0.91564882563275
MA2301.1	clk	PAS domain factors	Unknown	1.08829515961543	0.353177423266898	39	7721	0.91564882563275
MA1133.2	JUN::JUNB	Jun-related	MethylMinus	1.08709636098098	0.31142642246804	74	14666	0.91564882563275
MA2299.1	CG4854	More than 3 adjacent zinc fingers	Unknown	1.08677658185388	0.294956324579669	97	19230	0.91564882563275
MA0538.2	daf-12	C4-GATA-related	Unknown	1.08644334191031	0.277760661834947	132	26176	0.91564882563275
MA2294.1	Xrp1	""	Unknown	1.08642141002769	0.325724412066962	61	12097	0.91564882563275
MA0802.2	TBR1	TBrain-related factors	Unknown	1.08602039969201	0.310365503950709	78	15474	0.91564882563275
MA0649.2	HEY2	Hairy-related factors	Unknown	1.08598993524083	0.328868076303355	59	11705	0.91564882563275
MA0821.2	HES5	Hairy-related factors	Unknown	1.08554328639805	0.360003701010401	38	7542	0.91564882563275
MA2222.1	E(spl)mgamma-HLH	Hairy-related factors	Unknown	1.0842957883337	0.339563282057133	53	10531	0.91564882563275
MA1602.2	ZSCAN29	More than 3 adjacent zinc fingers	Unknown	1.08328465151539	0.317260044267667	77	15314	0.91564882563275
MA0443.2	btd	Other factors with up to three adjacent zinc fingers	Unknown	1.08224324559169	0.306751261198583	95	18912	0.91564882563275
MA0712.3	OTX2	Paired-related HD factors	MethylPlus	1.08173334025847	0.336632489514917	60	11950	0.91564882563275
MA0519.2	Stat5a::Stat5b	STAT factors	Unknown	1.08170123604461	0.317661138176601	81	16133	0.91564882563275
MA1930.2	CTCF	More than 3 adjacent zinc fingers	Unknown	1.08126876461016	0.299527846373838	112	22316	0.91564882563275
MA2097.1	ZNF75A	More than 3 adjacent zinc fingers	Unknown	1.08098973718014	0.299705301388677	113	22521	0.91564882563275
MA2110.1	Cdx	HOX	Unknown	1.08082596121639	0.319650396275955	81	16146	0.91564882563275
MA0658.2	LHX6	HD-LIM	Unknown	1.08054956887198	0.41828522161557	18	3589	0.91564882563275
MA0695.2	ZBTB7C	More than 3 adjacent zinc fingers	Unknown	1.07983313628144	0.312427233426127	95	18954	0.91564882563275
MA0106.3	TP53	p53-related factors	MethylMinus	1.07849447095024	0.340420656297755	63	12585	0.91564882563275
MA1968.2	TFCP2	CP2-related factors	Unknown	1.07840835786577	0.340606489713851	63	12586	0.91564882563275
MA1601.2	ZNF75D	More than 3 adjacent zinc fingers	Unknown	1.07826425561834	0.321272074820489	87	17383	0.91564882563275
MA1723.2	PRDM9	Factors with multiple dispersed zinc fingers	Unknown	1.07739858871285	0.284762335488303	183	36594	0.91564882563275
MA1899.2	Mitf	bHLH-ZIP	MethylMinus	1.07728104009989	0.335696744711476	71	14199	0.91564882563275
MA0865.3	E2F8	E2F	Unknown	1.07657284652708	0.347596713421151	60	12007	0.91564882563275
MA0650.4	Hoxa13	HOX	Unknown	1.07643085536413	0.352191611491918	56	11208	0.91564882563275
MA0004.1	Arnt	PAS domain factors	MethylMinus	1.07632013317947	0.315201950074229	105	21017	0.91564882563275
MA0058.4	MAX	bHLH-ZIP	MethylMinus	1.07632013317947	0.315201950074229	105	21017	0.91564882563275
MA0622.2	Mlxip	bHLH-ZIP	MethylMinus	1.07632013317947	0.315201950074229	105	21017	0.91564882563275
MA0825.2	MNT	bHLH-ZIP	MethylMinus	1.07632013317947	0.315201950074229	105	21017	0.91564882563275
MA1897.2	Max	bHLH-ZIP	MethylMinus	1.07632013317947	0.315201950074229	105	21017	0.91564882563275
MA2172.1	mdl-1	bHLH-ZIP	MethylMinus	1.07632013317947	0.315201950074229	105	21017	0.91564882563275
MA2240.1	Hey	Hairy-related factors	Unknown	1.07632013317947	0.315201950074229	105	21017	0.91564882563275
MA1940.2	ETV2::DRGX	Ets-related	MethylMinus	1.07567111429838	0.336834602402969	74	14821	0.91564882563275
MA2244.1	Hr39	GCNF-related receptors (NR6)	Unknown	1.07512781327902	0.326094239546653	91	18235	0.91564882563275
MA2160.1	ceh-39	HD-CUT	Unknown	1.07511709601656	0.363261047496405	49	9819	0.91564882563275
MA0643.2	Esrrg	Steroid hormone receptors (NR3)	Unknown	1.07507443257954	0.340648969165163	71	14228	0.91564882563275
MA2145.1	nhr-70	RXR-related receptors (NR2)	Unknown	1.07505985922262	0.320431300605059	101	20240	0.91564882563275
MA0779.2	PAX1	Paired domain only	Unknown	1.07493805429214	0.33321065460386	81	16234	0.91564882563275
