motif_id	motif_name	tf_class	methyl_sens	odds_ratio	pvalue	n_dmp_hits	n_total_hits	fdr	log2OR
MA1876.1	Gsx	HOX	Unknown	269.891721893501	0	2249	27649	0	8.07623691698206
MA0635.2	BARHL2	NK	Unknown	269.640399806007	0	2391	33931	0	8.07489285926637
MA0877.4	BARHL1	NK	Unknown	269.640399806007	0	2391	33931	0	8.07489285926637
MA1861.2	FoxB	FOX	MethylMinus	265.340602705997	0	2050	21619	0	8.05170164498919
MA1630.3	ZNF281	More than 3 adjacent zinc fingers	Unknown	263.620363681067	0	2391	34649	0	8.04231800718809
MA1893.1	Klf6-7-like	Three-zinc finger Kruppel-related	Unknown	262.503129897205	0	2335	31869	0	8.03619081430684
MA2274.1	Sox14	SOX-related factors	LittleEffect	258.979911578861	0	2183	26468	0	8.01669638579645
MA2324.1	BCL11A	Factors with multiple dispersed zinc fingers	Unknown	258.583887327188	0	2131	24494	0	8.01448857166156
MA1999.2	Prdm5	More than 3 adjacent zinc fingers	Unknown	257.933041637791	0	2186	26619	0	8.01085278629702
MA1729.2	ZNF680	More than 3 adjacent zinc fingers	Unknown	257.351364807586	0	2233	28252	0	8.00759562336217
MA0081.3	SPIB	Ets-related	MethylMinus	255.138555578574	0	2246	28978	0	7.99513711983606
MA1867.2	FoxI-b	FOX	MethylMinus	254.800192387907	0	2093	23647	0	7.99322255668203
MA1980.1	ZNF418	Factors with multiple dispersed zinc fingers	Unknown	254.623133295072	0	2081	23308	0	7.99221968825184
MA0049.1	hb	Factors with multiple dispersed zinc fingers	Unknown	254.179862739146	0	2245	29038	0	7.98970592791794
MA0497.2	MEF2C	Regulators of differentiation	Unknown	253.330686925433	0	2135	25083	0	7.9848780366381
MA0149.1	EWSR1-FLI1	Ets-related	MethylMinus	252.823413256964	0	2326	32548	0	7.98198626335941
MA1952.2	FOXJ2::ELF1	FOX	MethylMinus	252.422093289363	0	2190	27176	0	7.97969437776585
MA1870.2	FoxL2	FOX	MethylMinus	252.212071547961	0	2071	23217	0	7.97849351835757
MA2225.1	erm	More than 3 adjacent zinc fingers	Unknown	251.848980408792	0	2119	24701	0	7.97641508014284
MA1963.2	SATB1	HD-CUT	Unknown	250.778382230153	0	2147	25937	0	7.97026917908871
MA1987.2	ZNF701	More than 3 adjacent zinc fingers	Unknown	248.676790929421	0	2326	33058	0	7.95812805650326
MA0901.3	HOXB13	HOX	MethylPlus	248.074502215039	0	2042	22737	0	7.95462964842985
MA2124.1	Hmga1	HMGA	LittleEffect	248.006165983943	0	2115	24919	0	7.95423217943475
MA0614.1	Foxj2	FOX	MethylMinus	247.319924066208	0	2053	23109	0	7.95023465754002
MA0775.2	MEIS3	TALE-type homeo domain factors	Unknown	247.20781176812	0	2116	25024	0	7.94958052290803
MA1155.1	ZSCAN4	More than 3 adjacent zinc fingers	Unknown	245.04557401962	0	2169	27011	0	7.93690627899287
MA1421.1	TCF7L1	TCF-7-related factors	Unknown	244.957833794715	0	2103	24816	0	7.93638961977503
MA0867.3	SOX4	SOX-related factors	LittleEffect	244.425483833165	0	2149	26565	0	7.93325089834823
MA2184.1	sox-3	SOX-related factors	LittleEffect	243.404806964701	0	1939	20470	0	7.92721384967376
MA1593.2	ZNF317	More than 3 adjacent zinc fingers	Unknown	243.057776507762	0	2031	22849	0	7.92515548292079
MA0479.2	FOXH1	FOX	MethylMinus	242.557284339357	0	1990	21787	0	7.92218169613683
MA0816.1	Ascl2	MyoD/ASC-related factors	Unknown	242.308274148738	0	1983	21625	0	7.92069985939907
MA0216.2	cad	HOX	Unknown	242.267183415267	0	2020	22612	0	7.92045518585392
MA0051.2	IRF2	Interferon-regulatory factors	Unknown	242.241106829871	0	2070	24046	0	7.92029989207989
MA1651.2	ZFP42	More than 3 adjacent zinc fingers	Unknown	241.885078929712	0	2086	24566	0	7.91817796687245
MA0869.3	Sox11	SOX-related factors	LittleEffect	241.302115975477	0	2119	25678	0	7.91469675636006
